,minibatch,hilbert,random_proj,lsh,kde_pilot,kdtree,pca1d,zorder,hybrid,minibatch_partial,pq,spectral,birch,distance_shell,sobol,sparse_rp,gmm,hdbscan
minibatch,1.0,0.03114458979008494,0.02865091527095769,0.028831479804713137,0.03187614602228972,0.02752557994019427,0.03002948552727179,0.029012259558358695,0.027651632980178045,0.029083412094977314,0.02875792093895609,0.02754427158500249,0.030142681295195015,0.012492579282463081,0.02947070166115652,0.026615888696013154,0.027146873751344665,0.03238239540929653
hilbert,0.03114458979008494,1.0,0.028802261704485205,0.02455374275803884,0.03656966309507191,0.02369925668276976,0.031570163264266156,0.03182028652639212,0.029292455204350993,0.02808980089314067,0.025712429709217263,0.024906572033035954,0.026993537722810476,0.011182238819509733,0.0253086301759677,0.02662077643333396,0.02416972044193351,0.033720779375721155
random_proj,0.02865091527095769,0.028802261704485205,1.0,0.02487223436849771,0.030802945210901524,0.021760405615491148,0.023802688595464562,0.024188182434967287,0.022715609000501305,0.025999298266294997,0.027336524349023582,0.024895149803747248,0.02756878097081464,0.009956811157382743,0.022819623923546056,0.025656199306474368,0.022414653176212905,0.028155220044825076
lsh,0.028831479804713137,0.02455374275803884,0.02487223436849771,1.0,0.0384376910386195,0.026978752685139964,0.02653679616379918,0.027226529654145157,0.024991684155475532,0.02779209617504389,0.026516704309583927,0.02091957166424067,0.026998744320625198,0.009374341466137996,0.02439479889574167,0.022948882468906678,0.023690301117075586,0.02748469252729436
kde_pilot,0.03187614602228972,0.03656966309507191,0.030802945210901524,0.0384376910386195,1.0,0.02921254775137753,0.032628615557550665,0.03437676261823368,0.03158352142821847,0.035508357987094695,0.036934254823879104,0.029249573284409563,0.03675030943208997,0.015549854380674724,0.031440599254465545,0.03261544741899425,0.03130219060890843,0.033939542834557884
kdtree,0.02752557994019427,0.02369925668276976,0.021760405615491148,0.026978752685139964,0.02921254775137753,1.0,0.02891295927499579,0.027666574430064463,0.024977562496765714,0.027989361149105437,0.021898480398439404,0.02429411586170827,0.025423020577112033,0.009195742080330459,0.024526058663757056,0.02599675717048473,0.02456200512457678,0.024396256219058506
pca1d,0.03002948552727179,0.031570163264266156,0.023802688595464562,0.02653679616379918,0.032628615557550665,0.02891295927499579,1.0,0.026508476050711986,0.0288988917730877,0.030160680380542586,0.03041778508663537,0.02792220531127498,0.028280618448105057,0.010360132897723513,0.02396433642827032,0.026185458224103203,0.02581480090350703,0.02786512059927398
zorder,0.029012259558358695,0.03182028652639212,0.024188182434967287,0.027226529654145157,0.03437676261823368,0.027666574430064463,0.026508476050711986,1.0,0.0257763664958966,0.027653452309387195,0.028564011602782772,0.025942183828862393,0.030364774400250587,0.010461742958581868,0.026775062239557713,0.028562433134233706,0.025511686916832928,0.031077710397025036
hybrid,0.027651632980178045,0.029292455204350993,0.022715609000501305,0.024991684155475532,0.03158352142821847,0.024977562496765714,0.0288988917730877,0.0257763664958966,1.0,0.025338768170203578,0.024529999060804022,0.02514522781940167,0.028375163880596712,0.013085901770907122,0.02269315383392105,0.029279787878035694,0.02496364511173853,0.02973672781323054
minibatch_partial,0.029083412094977314,0.02808980089314067,0.025999298266294997,0.02779209617504389,0.035508357987094695,0.027989361149105437,0.030160680380542586,0.027653452309387195,0.025338768170203578,1.0,0.029853008567840403,0.025848802039540583,0.031105236515731785,0.011534677463148447,0.02541788781245574,0.028326212043621218,0.02461756197791959,0.029377787912621533
pq,0.02875792093895609,0.025712429709217263,0.027336524349023582,0.026516704309583927,0.036934254823879104,0.021898480398439404,0.03041778508663537,0.028564011602782772,0.024529999060804022,0.029853008567840403,1.0,0.026831316920676775,0.0271576239995691,0.009701353788379065,0.024645668246074157,0.024696600848976655,0.02791935571794467,0.02917451552401517
spectral,0.02754427158500249,0.024906572033035954,0.024895149803747248,0.02091957166424067,0.029249573284409563,0.02429411586170827,0.02792220531127498,0.025942183828862393,0.02514522781940167,0.025848802039540583,0.026831316920676775,1.0,0.026454966570790266,0.011347079898062069,0.022582095241112102,0.024612290578309347,0.025764664784908322,0.029020981480739835
birch,0.030142681295195015,0.026993537722810476,0.02756878097081464,0.026998744320625198,0.03675030943208997,0.025423020577112033,0.028280618448105057,0.030364774400250587,0.028375163880596712,0.031105236515731785,0.0271576239995691,0.026454966570790266,1.0,0.01135884619668789,0.028799031241859178,0.026149550765788617,0.02516761760050376,0.029011063850827537
distance_shell,0.012492579282463081,0.011182238819509733,0.009956811157382743,0.009374341466137996,0.015549854380674724,0.009195742080330459,0.010360132897723513,0.010461742958581868,0.013085901770907122,0.011534677463148447,0.009701353788379065,0.011347079898062069,0.01135884619668789,1.0,0.008223849657935238,0.010272021056378321,0.012082765110624751,0.011200732616210154
