dataset,mode,selectivity,seed,query_id,D_target,true_card,est,q_error
SimSearchNet++,bernoulli,0.01,0.1,0,460.6907958984375,779956,207792.2077922078,3.7535382499999996
SimSearchNet++,bernoulli,0.01,0.1,1,464.9868469238281,806206,831168.8311688312,1.0309633408444383
SimSearchNet++,bernoulli,0.01,0.1,2,429.36578369140625,811965,1038961.038961039,1.2795638222842598
SimSearchNet++,bernoulli,0.01,0.1,3,458.88116455078125,801685,623376.6233766234,1.2860363541666666
SimSearchNet++,bernoulli,0.01,0.1,4,457.8514709472656,815604,1454545.4545454546,1.783396666207442
SimSearchNet++,bernoulli,0.01,0.1,5,452.2731018066406,791358,1038961.038961039,1.3128837251421468
SimSearchNet++,bernoulli,0.01,0.1,6,456.95843505859375,793184,415584.4155844156,1.908599
SimSearchNet++,bernoulli,0.01,0.1,7,454.0616455078125,780202,207792.2077922078,3.754722125
SimSearchNet++,bernoulli,0.01,0.1,8,453.7630615234375,836625,1246753.2467532468,1.490217536833404
SimSearchNet++,bernoulli,0.01,0.1,9,464.24334716796875,803504,831168.8311688312,1.034430234533781
SimSearchNet++,bernoulli,0.01,0.1,10,462.4942626953125,817970,831168.8311688312,1.0161360822143002
SimSearchNet++,bernoulli,0.01,0.1,11,460.7634582519531,818301,1454545.4545454546,1.7775188525315924
SimSearchNet++,bernoulli,0.01,0.1,12,458.513916015625,817881,831168.8311688312,1.0162466558934995
SimSearchNet++,bernoulli,0.01,0.1,13,454.0605773925781,818837,623376.6233766234,1.3135510208333334
SimSearchNet++,bernoulli,0.01,0.1,14,460.4551696777344,810978,415584.4155844156,1.9514158124999998
SimSearchNet++,bernoulli,0.01,0.1,15,455.6313781738281,818190,207792.2077922078,3.9375393749999996
SimSearchNet++,bernoulli,0.01,0.1,16,460.01300048828125,799199,415584.4155844156,1.92307259375
SimSearchNet++,bernoulli,0.01,0.1,17,459.2112121582031,823660,831168.8311688312,1.0091164208154229
SimSearchNet++,bernoulli,0.01,0.1,18,472.6457214355469,759820,1038961.038961039,1.367377851281934
SimSearchNet++,bernoulli,0.01,0.1,19,453.94488525390625,808677,1246753.2467532468,1.5417196813477405
SimSearchNet++,bernoulli,0.01,0.1,20,453.7972717285156,814470,1038961.038961039,1.275628370548994
SimSearchNet++,bernoulli,0.01,0.1,21,446.5522766113281,797911,1038961.038961039,1.3021014110108007
SimSearchNet++,bernoulli,0.01,0.1,22,464.0010070800781,793547,415584.4155844156,1.90947246875
SimSearchNet++,bernoulli,0.01,0.1,23,454.8186340332031,788048,1038961.038961039,1.3183981673210756
SimSearchNet++,bernoulli,0.01,0.1,24,473.16168212890625,817611,415584.4155844156,1.96737646875
SimSearchNet++,bernoulli,0.01,0.1,25,456.3419494628906,802078,831168.8311688312,1.0362693293779797
SimSearchNet++,bernoulli,0.01,0.1,26,464.16162109375,812018,1038961.038961039,1.2794803058073085
SimSearchNet++,bernoulli,0.01,0.1,27,458.9803466796875,798805,1454545.4545454546,1.8209017902309756
SimSearchNet++,bernoulli,0.01,0.1,28,458.90631103515625,823525,1454545.4545454546,1.7662432282510605
SimSearchNet++,bernoulli,0.01,0.1,29,459.6161193847656,797985,415584.4155844156,1.9201514062499998
SimSearchNet++,bernoulli,0.01,0.1,30,463.0507507324219,794866,623376.6233766234,1.2750975416666666
SimSearchNet++,bernoulli,0.01,0.1,31,472.28485107421875,813202,1246753.2467532468,1.533140900727306
SimSearchNet++,bernoulli,0.01,0.1,32,455.90789794921875,839852,831168.8311688312,1.0104469375
SimSearchNet++,bernoulli,0.01,0.1,33,448.43841552734375,810858,1246753.2467532468,1.537572850922414
SimSearchNet++,bernoulli,0.01,0.1,34,445.63323974609375,821583,623376.6233766234,1.3179560625
SimSearchNet++,bernoulli,0.01,0.1,35,458.1025695800781,810313,207792.2077922078,3.8996313125
SimSearchNet++,bernoulli,0.01,0.1,36,457.3247985839844,779727,415584.4155844156,1.87621809375
SimSearchNet++,bernoulli,0.01,0.1,37,463.9535217285156,779968,1038961.038961039,1.3320559804518122
SimSearchNet++,bernoulli,0.01,0.1,38,456.379150390625,830717,207792.2077922078,3.9978255624999997
SimSearchNet++,bernoulli,0.01,0.1,39,459.9629821777344,809020,831168.8311688312,1.027377359235657
SimSearchNet++,bernoulli,0.01,0.1,40,461.0172424316406,812332,415584.4155844156,1.954673875
SimSearchNet++,bernoulli,0.01,0.1,41,459.5018615722656,812243,1454545.4545454546,1.7907762265054357
SimSearchNet++,bernoulli,0.01,0.1,42,467.9165954589844,797447,1246753.2467532468,1.5634308571644846
SimSearchNet++,bernoulli,0.01,0.1,43,457.88427734375,799257,831168.8311688312,1.0399268710425198
SimSearchNet++,bernoulli,0.01,0.1,44,459.56390380859375,826497,415584.4155844156,1.9887584062499999
SimSearchNet++,bernoulli,0.01,0.1,45,459.495361328125,802878,1038961.038961039,1.2940459683302308
SimSearchNet++,bernoulli,0.01,0.1,46,450.1866149902344,785736,1662337.6623376624,2.11564401063164
SimSearchNet++,bernoulli,0.01,0.1,47,468.6938171386719,804578,623376.6233766234,1.2906772083333333
SimSearchNet++,bernoulli,0.01,0.1,48,461.4813232421875,786529,415584.4155844156,1.8925854062499998
SimSearchNet++,bernoulli,0.01,0.1,49,455.8804626464844,797132,1038961.038961039,1.3033738941116892
SimSearchNet++,bernoulli,0.01,0.1,50,460.3205261230469,811048,1246753.2467532468,1.5372126517212874
SimSearchNet++,bernoulli,0.01,0.1,51,461.06280517578125,766698,831168.8311688312,1.0840889518021843
SimSearchNet++,bernoulli,0.01,0.1,52,453.3376159667969,805578,623376.6233766234,1.292281375
SimSearchNet++,bernoulli,0.01,0.1,53,450.4808044433594,802879,831168.8311688312,1.035235485258465
SimSearchNet++,bernoulli,0.01,0.1,54,460.39324951171875,819773,1246753.2467532468,1.5208518050158357
SimSearchNet++,bernoulli,0.01,0.1,55,447.2884826660156,812761,831168.8311688312,1.0226485168073163
SimSearchNet++,bernoulli,0.01,0.1,56,469.0072937011719,805871,415584.4155844156,1.9391270937499998
SimSearchNet++,bernoulli,0.01,0.1,57,454.9988708496094,812699,1038961.038961039,1.278408167059439
SimSearchNet++,bernoulli,0.01,0.1,58,457.2242431640625,793446,831168.8311688312,1.0475430352775503
SimSearchNet++,bernoulli,0.01,0.1,59,461.410888671875,797411,207792.2077922078,3.8375404375
SimSearchNet++,bernoulli,0.01,0.1,60,459.6661071777344,861843,1246753.2467532468,1.4466129524208549
SimSearchNet++,bernoulli,0.01,0.1,61,463.8576354980469,812292,831168.8311688312,1.0232389721538944
SimSearchNet++,bernoulli,0.01,0.1,62,458.5019226074219,816770,415584.4155844156,1.9653528125
SimSearchNet++,bernoulli,0.01,0.1,63,470.8662109375,809218,831168.8311688312,1.0271259798581238
SimSearchNet++,bernoulli,0.01,0.1,64,460.90130615234375,816872,831168.8311688312,1.0175019233966047
SimSearchNet++,bernoulli,0.01,0.1,65,459.3930358886719,795471,1038961.038961039,1.306095431462667
SimSearchNet++,bernoulli,0.01,0.1,66,455.562255859375,806856,1038961.038961039,1.2876660010721108
SimSearchNet++,bernoulli,0.01,0.1,67,471.1730041503906,809196,623376.6233766234,1.29808525
SimSearchNet++,bernoulli,0.01,0.1,68,460.58642578125,816240,831168.8311688312,1.0182897568960492
SimSearchNet++,bernoulli,0.01,0.1,69,457.6493835449219,812672,831168.8311688312,1.0227605124439272
SimSearchNet++,bernoulli,0.01,0.1,70,455.99005126953125,811990,1038961.038961039,1.2795244263612102
SimSearchNet++,bernoulli,0.01,0.1,71,460.2683410644531,840500,1038961.038961039,1.2361225924581072
SimSearchNet++,bernoulli,0.01,0.1,72,458.9477233886719,797751,831168.8311688312,1.0418900523707664
SimSearchNet++,bernoulli,0.01,0.1,73,462.16229248046875,822257,623376.6233766234,1.3190372708333333
SimSearchNet++,bernoulli,0.01,0.1,74,449.9244079589844,815620,415584.4155844156,1.962585625
SimSearchNet++,bernoulli,0.01,0.1,75,462.0497131347656,806815,623376.6233766234,1.2942657291666666
SimSearchNet++,bernoulli,0.01,0.1,76,448.06463623046875,798827,415584.4155844156,1.92217746875
SimSearchNet++,bernoulli,0.01,0.1,77,450.0210876464844,797837,831168.8311688312,1.0417777455405444
SimSearchNet++,bernoulli,0.01,0.1,78,462.8011169433594,813775,0.0,
SimSearchNet++,bernoulli,0.01,0.1,79,458.7417297363281,794044,623376.6233766234,1.2737789166666666
SimSearchNet++,bernoulli,0.01,0.1,80,459.2297668457031,798529,623376.6233766234,1.2809736041666666
SimSearchNet++,bernoulli,0.01,0.1,81,460.25537109375,775374,415584.4155844156,1.8657436875
SimSearchNet++,bernoulli,0.01,0.1,82,437.2161560058594,814700,831168.8311688312,1.0202145957638777
SimSearchNet++,bernoulli,0.01,0.1,83,464.0117492675781,807711,623376.6233766234,1.2957030625
SimSearchNet++,bernoulli,0.01,0.1,84,452.8520812988281,807540,831168.8311688312,1.0292602610011037
SimSearchNet++,bernoulli,0.01,0.1,85,466.22845458984375,803831,623376.6233766234,1.2894788958333334
SimSearchNet++,bernoulli,0.01,0.1,86,469.7104797363281,802001,623376.6233766234,1.2865432708333333
SimSearchNet++,bernoulli,0.01,0.1,87,457.68212890625,823666,0.0,
SimSearchNet++,bernoulli,0.01,0.1,88,462.4499816894531,799879,415584.4155844156,1.92470884375
SimSearchNet++,bernoulli,0.01,0.1,89,448.3302307128906,809619,1038961.038961039,1.2832715622546396
SimSearchNet++,bernoulli,0.01,0.1,90,448.3257751464844,813570,623376.6233766234,1.305101875
SimSearchNet++,bernoulli,0.01,0.1,91,449.1691589355469,778058,1038961.038961039,1.3353259512286217
SimSearchNet++,bernoulli,0.01,0.1,92,464.93865966796875,797483,1454545.4545454546,1.8239203275122537
SimSearchNet++,bernoulli,0.01,0.1,93,459.4725341796875,798655,831168.8311688312,1.0407107338823787
SimSearchNet++,bernoulli,0.01,0.1,94,467.1230773925781,805916,623376.6233766234,1.2928235833333332
SimSearchNet++,bernoulli,0.01,0.1,95,450.4296875,761684,415584.4155844156,1.832802125
SimSearchNet++,bernoulli,0.01,0.1,96,465.37078857421875,797003,1246753.2467532468,1.5643018241502815
SimSearchNet++,bernoulli,0.01,0.1,97,437.6825256347656,815725,831168.8311688312,1.0189326441739939
SimSearchNet++,bernoulli,0.01,0.1,98,449.60650634765625,802759,623376.6233766234,1.2877592291666666
SimSearchNet++,bernoulli,0.01,0.1,99,459.7096862792969,825299,623376.6233766234,1.3239171458333334
SimSearchNet++,bernoulli,0.01,0.2,0,460.6907958984375,779956,623376.6233766234,1.2511794166666668
SimSearchNet++,bernoulli,0.01,0.2,1,464.9868469238281,806206,207792.2077922078,3.8798663749999998
SimSearchNet++,bernoulli,0.01,0.2,2,429.36578369140625,811965,831168.8311688312,1.0236510578274078
SimSearchNet++,bernoulli,0.01,0.2,3,458.88116455078125,801685,1038961.038961039,1.2959716583958028
SimSearchNet++,bernoulli,0.01,0.2,4,457.8514709472656,815604,1038961.038961039,1.2738547615767444
SimSearchNet++,bernoulli,0.01,0.2,5,452.2731018066406,791358,1038961.038961039,1.3128837251421468
SimSearchNet++,bernoulli,0.01,0.2,6,456.95843505859375,793184,207792.2077922078,3.817198
SimSearchNet++,bernoulli,0.01,0.2,7,454.0616455078125,780202,207792.2077922078,3.754722125
SimSearchNet++,bernoulli,0.01,0.2,8,453.7630615234375,836625,1038961.038961039,1.2418479473611703
SimSearchNet++,bernoulli,0.01,0.2,9,464.24334716796875,803504,623376.6233766234,1.2889543333333333
SimSearchNet++,bernoulli,0.01,0.2,10,462.4942626953125,817970,1038961.038961039,1.2701701027678753
SimSearchNet++,bernoulli,0.01,0.2,11,460.7634582519531,818301,1454545.4545454546,1.7775188525315924
SimSearchNet++,bernoulli,0.01,0.2,12,458.513916015625,817881,415584.4155844156,1.9680261562499999
SimSearchNet++,bernoulli,0.01,0.2,13,454.0605773925781,818837,831168.8311688312,1.0150601782391748
SimSearchNet++,bernoulli,0.01,0.2,14,460.4551696777344,810978,623376.6233766234,1.300943875
SimSearchNet++,bernoulli,0.01,0.2,15,455.6313781738281,818190,415584.4155844156,1.9687696874999998
SimSearchNet++,bernoulli,0.01,0.2,16,460.01300048828125,799199,831168.8311688312,1.0400023413052708
SimSearchNet++,bernoulli,0.01,0.2,17,459.2112121582031,823660,623376.6233766234,1.3212879166666667
SimSearchNet++,bernoulli,0.01,0.2,18,472.6457214355469,759820,1662337.6623376624,2.1878045620510944
SimSearchNet++,bernoulli,0.01,0.2,19,453.94488525390625,808677,623376.6233766234,1.2972526875
SimSearchNet++,bernoulli,0.01,0.2,20,453.7972717285156,814470,831168.8311688312,1.020502696439195
SimSearchNet++,bernoulli,0.01,0.2,21,446.5522766113281,797911,207792.2077922078,3.8399466875
SimSearchNet++,bernoulli,0.01,0.2,22,464.0010070800781,793547,415584.4155844156,1.90947246875
SimSearchNet++,bernoulli,0.01,0.2,23,454.8186340332031,788048,623376.6233766234,1.2641603333333333
SimSearchNet++,bernoulli,0.01,0.2,24,473.16168212890625,817611,831168.8311688312,1.0165822514237592
SimSearchNet++,bernoulli,0.01,0.2,25,456.3419494628906,802078,415584.4155844156,1.9300001875
SimSearchNet++,bernoulli,0.01,0.2,26,464.16162109375,812018,1246753.2467532468,1.5353763669687701
SimSearchNet++,bernoulli,0.01,0.2,27,458.9803466796875,798805,623376.6233766234,1.2814163541666668
SimSearchNet++,bernoulli,0.01,0.2,28,458.90631103515625,823525,415584.4155844156,1.9816070312499998
SimSearchNet++,bernoulli,0.01,0.2,29,459.6161193847656,797985,831168.8311688312,1.0415845299959663
SimSearchNet++,bernoulli,0.01,0.2,30,463.0507507324219,794866,1662337.6623376624,2.0913432733789876
SimSearchNet++,bernoulli,0.01,0.2,31,472.28485107421875,813202,623376.6233766234,1.3045115416666666
SimSearchNet++,bernoulli,0.01,0.2,32,455.90789794921875,839852,415584.4155844156,2.020893875
SimSearchNet++,bernoulli,0.01,0.2,33,448.43841552734375,810858,1038961.038961039,1.2813107091020117
SimSearchNet++,bernoulli,0.01,0.2,34,445.63323974609375,821583,415584.4155844156,1.97693409375
SimSearchNet++,bernoulli,0.01,0.2,35,458.1025695800781,810313,1038961.038961039,1.2821724925566282
SimSearchNet++,bernoulli,0.01,0.2,36,457.3247985839844,779727,1246753.2467532468,1.5989612348337903
SimSearchNet++,bernoulli,0.01,0.2,37,463.9535217285156,779968,415584.4155844156,1.876798
SimSearchNet++,bernoulli,0.01,0.2,38,456.379150390625,830717,831168.8311688312,1.0005439050468827
SimSearchNet++,bernoulli,0.01,0.2,39,459.9629821777344,809020,623376.6233766234,1.2978029166666667
SimSearchNet++,bernoulli,0.01,0.2,40,461.0172424316406,812332,1454545.4545454546,1.790580027064617
SimSearchNet++,bernoulli,0.01,0.2,41,459.5018615722656,812243,207792.2077922078,3.9089194375
SimSearchNet++,bernoulli,0.01,0.2,42,467.9165954589844,797447,623376.6233766234,1.2792378958333332
SimSearchNet++,bernoulli,0.01,0.2,43,457.88427734375,799257,1662337.6623376624,2.0798537420850396
