dataset,mode,selectivity,seed,query_id,D_target,true_card,est,q_error
SIFT,bernoulli,0.01,0.1,0,372.0482482910156,804072,1454545.4545454546,1.8089741398101844
SIFT,bernoulli,0.01,0.1,1,385.9545593261719,811722,831168.8311688312,1.0239575016678508
SIFT,bernoulli,0.01,0.1,2,394.9783630371094,829692,623376.6233766234,1.33096425
SIFT,bernoulli,0.01,0.1,3,391.8212890625,791172,415584.4155844156,1.903757625
SIFT,bernoulli,0.01,0.1,4,319.7450256347656,803973,1038961.038961039,1.29228349579033
SIFT,bernoulli,0.01,0.1,5,380.0393371582031,794917,415584.4155844156,1.9127690312499999
SIFT,bernoulli,0.01,0.1,6,328.6761169433594,794744,831168.8311688312,1.0458321562274533
SIFT,bernoulli,0.01,0.1,7,397.1687316894531,791648,623376.6233766234,1.2699353333333334
SIFT,bernoulli,0.01,0.1,8,418.513916015625,804886,415584.4155844156,1.9367569375
SIFT,bernoulli,0.01,0.1,9,352.22998046875,776948,1038961.038961039,1.3372336874038404
SIFT,bernoulli,0.01,0.1,10,394.0569763183594,828502,0.0,
SIFT,bernoulli,0.01,0.1,11,432.48583984375,815010,623376.6233766234,1.307411875
SIFT,bernoulli,0.01,0.1,12,406.16253662109375,804376,207792.2077922078,3.8710595
SIFT,bernoulli,0.01,0.1,13,404.9566345214844,809701,831168.8311688312,1.0265132822718894
SIFT,bernoulli,0.01,0.1,14,394.8276672363281,792243,207792.2077922078,3.8126694375
SIFT,bernoulli,0.01,0.1,15,303.80743408203125,816582,1038961.038961039,1.2723290973362615
SIFT,bernoulli,0.01,0.1,16,424.9352722167969,770578,1038961.038961039,1.348287959117752
SIFT,bernoulli,0.01,0.1,17,372.31842041015625,771263,1662337.6623376624,2.1553447557288012
SIFT,bernoulli,0.01,0.1,18,393.0279541015625,784222,0.0,
SIFT,bernoulli,0.01,0.1,19,400.4907531738281,757932,207792.2077922078,3.6475477499999998
SIFT,bernoulli,0.01,0.1,20,291.91400146484375,802853,415584.4155844156,1.9318650312499999
SIFT,bernoulli,0.01,0.1,21,272.52850341796875,793344,1038961.038961039,1.3095971469640395
SIFT,bernoulli,0.01,0.1,22,330.2196044921875,817716,1038961.038961039,1.2705646446456216
SIFT,bernoulli,0.01,0.1,23,409.1575622558594,800505,623376.6233766234,1.2841434375
SIFT,bernoulli,0.01,0.1,24,372.28057861328125,783106,1038961.038961039,1.3267182718061654
SIFT,bernoulli,0.01,0.1,25,365.21484375,810423,1870129.8701298703,2.3075972302487346
SIFT,bernoulli,0.01,0.1,26,356.6326904296875,800950,1662337.6623376624,2.0754574721738717
SIFT,bernoulli,0.01,0.1,27,233.2550506591797,786761,1038961.038961039,1.320554830451737
SIFT,bernoulli,0.01,0.1,28,389.90380859375,819103,1246753.2467532468,1.5220958130457913
SIFT,bernoulli,0.01,0.1,29,417.54730224609375,788421,207792.2077922078,3.7942760625
SIFT,bernoulli,0.01,0.1,30,392.8097839355469,774709,1038961.038961039,1.3410984498192728
SIFT,bernoulli,0.01,0.1,31,379.7194519042969,813563,831168.8311688312,1.0216404029790331
SIFT,bernoulli,0.01,0.1,32,394.81256103515625,796478,623376.6233766234,1.2776834583333334
SIFT,bernoulli,0.01,0.1,33,319.9873352050781,780607,831168.8311688312,1.0647724542168227
SIFT,bernoulli,0.01,0.1,34,315.56451416015625,823847,1038961.038961039,1.2611092095510927
SIFT,bernoulli,0.01,0.1,35,377.76806640625,817178,1662337.6623376624,2.034241820432834
SIFT,bernoulli,0.01,0.1,36,387.8049621582031,802894,207792.2077922078,3.863927375
SIFT,bernoulli,0.01,0.1,37,371.2020263671875,818454,831168.8311688312,1.0155351811694135
SIFT,bernoulli,0.01,0.1,38,414.6022033691406,805071,1246753.2467532468,1.548625210389204
SIFT,bernoulli,0.01,0.1,39,368.1969299316406,818444,831168.8311688312,1.015547589289959
SIFT,bernoulli,0.01,0.1,40,345.3054504394531,827179,1246753.2467532468,1.5072351289784276
SIFT,bernoulli,0.01,0.1,41,437.45843505859375,847465,415584.4155844156,2.0392126562499997
SIFT,bernoulli,0.01,0.1,42,368.06109619140625,760308,415584.4155844156,1.8294911249999999
SIFT,bernoulli,0.01,0.1,43,361.3336181640625,798655,415584.4155844156,1.92176359375
SIFT,bernoulli,0.01,0.1,44,395.9861145019531,781932,415584.4155844156,1.8815238749999998
SIFT,bernoulli,0.01,0.1,45,331.9261779785156,767590,1246753.2467532468,1.6242437326609866
