dataset,arm,sel,mean,std,count
DEEP,KM20,0.01,8.932232824667796,2.926335976136893,5
DEEP,KM20,0.05,1.8537169912998828,2.382957306117623,5
DEEP,KM20,0.1,4.186714881646258,2.7945225946220993,5
DEEP,KM20,0.3,2.623393017660758,0.9459924302924271,5
DEEP,KM20,0.5,1.3116753660022755,0.0,1
DEEP,RAND,0.01,-10.668397053685432,5.424653949576069,5
DEEP,RAND,0.05,0.7889372303400928,2.3637898679659464,5
DEEP,RAND,0.1,1.740030883279887,1.0028430766261325,5
DEEP,RAND,0.3,0.26452311652866073,0.6349784161222612,5
SIFT,KM20,0.01,-0.5328682525321817,2.1304557774865858,5
SIFT,KM20,0.05,4.392169234878126,1.4179736132325582,5
SIFT,KM20,0.1,-8.847071927747459,0.9657987346941828,5
SIFT,KM20,0.3,-7.262713096622922,0.5184415134192971,5
SIFT,KM20,0.5,3.071391771431035,0.32890887919885387,5
SIFT,RAND,0.01,-12.111407048391028,13.617556617590967,5
SIFT,RAND,0.05,-0.050175092376317565,3.0612303579437024,5
SIFT,RAND,0.1,-6.750331393294564,2.1129152863588363,5
SIFT,RAND,0.3,-5.632170688092397,0.8436883243641364,5
SIFT,RAND,0.5,1.0100248021407123,0.9539420614350775,5
