method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
minibatch,DEEP,0.01,477,8.272,3.001,13.888,True,-0.0956,1.3705,1.2987
minibatch,DEEP,0.05,500,-2.196,-3.937,-0.465,True,-0.2106,1.1492,1.1948
minibatch,DEEP,0.1,500,-2.231,-3.357,-1.083,True,-0.2317,1.0955,1.1169
minibatch,DEEP,0.3,500,-1.88,-2.543,-1.268,True,-0.2918,1.0415,1.0596
minibatch,DEEP,0.5,500,-1.099,-1.487,-0.713,True,-0.2628,1.0305,1.0405
minibatch,SIFT,0.01,466,11.099,5.23,17.625,True,-0.0239,1.3539,1.2987
minibatch,SIFT,0.05,500,-3.23,-5.098,-1.321,True,-0.2411,1.1499,1.2031
minibatch,SIFT,0.1,500,-7.707,-9.104,-6.337,True,-0.5204,1.0941,1.199
minibatch,SIFT,0.3,500,-7.27,-7.943,-6.566,True,-0.8957,1.0395,1.1255
minibatch,SIFT,0.5,500,-4.925,-5.391,-4.435,True,-0.8782,1.0242,1.0753
hilbert,DEEP,0.01,953,9.861,5.916,13.708,True,-0.0716,1.3004,1.2987
hilbert,DEEP,0.05,1000,-1.823,-3.133,-0.605,True,-0.1893,1.1429,1.1948
hilbert,DEEP,0.1,1000,-0.971,-1.812,-0.107,True,-0.1425,1.1024,1.1169
hilbert,DEEP,0.3,1000,-1.037,-1.484,-0.58,True,-0.1785,1.05,1.0596
hilbert,DEEP,0.5,1000,-0.735,-1.014,-0.437,True,-0.1827,1.0344,1.0405
hilbert,SIFT,0.01,953,12.839,9.078,16.724,True,0.0158,1.3076,1.2987
hilbert,SIFT,0.05,1000,-2.88,-4.279,-1.371,True,-0.2333,1.1565,1.2031
hilbert,SIFT,0.1,1000,-7.058,-8.024,-6.038,True,-0.4804,1.1,1.199
hilbert,SIFT,0.3,1000,-6.239,-6.759,-5.719,True,-0.7466,1.0476,1.1255
hilbert,SIFT,0.5,1000,-4.278,-4.633,-3.923,True,-0.7506,1.0286,1.0753
random_proj,DEEP,0.01,921,24.966,19.988,30.575,True,0.1241,1.4879,1.2987
random_proj,DEEP,0.05,1000,9.047,6.931,11.15,True,0.1906,1.2031,1.1948
random_proj,DEEP,0.1,1000,6.003,4.729,7.341,True,0.2249,1.1494,1.1169
random_proj,DEEP,0.3,1000,3.349,2.692,4.074,True,0.2725,1.0794,1.0596
random_proj,DEEP,0.5,1000,2.581,2.125,3.069,True,0.3284,1.0568,1.0405
random_proj,SIFT,0.01,918,48.868,38.903,59.871,True,0.2272,1.5584,1.2987
random_proj,SIFT,0.05,1000,17.671,14.72,20.626,True,0.2816,1.2987,1.2031
random_proj,SIFT,0.1,1000,11.022,8.909,13.12,True,0.2434,1.2468,1.199
