method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
minibatch,DEEP_1M,0.01,952,10.098,6.222,14.319,True,-0.0744,1.3186,1.2987
minibatch,DEEP_1M,0.05,1000,0.365,-0.98,1.733,False,-0.093,1.1698,1.1948
minibatch,DEEP_1M,0.1,1000,-0.392,-1.314,0.505,False,-0.101,1.1077,1.1169
minibatch,DEEP_1M,0.3,1000,-0.983,-1.435,-0.509,True,-0.1688,1.05,1.0596
minibatch,DEEP_1M,0.5,1000,-0.601,-0.903,-0.302,True,-0.1497,1.0349,1.0405
minibatch_partial,DEEP_1M,0.01,472,6.853,1.788,12.176,True,-0.1073,1.4021,1.2987
minibatch_partial,DEEP_1M,0.05,500,-2.784,-4.581,-1.043,True,-0.2353,1.1361,1.1948
minibatch_partial,DEEP_1M,0.1,500,-2.263,-3.384,-1.148,True,-0.2359,1.0939,1.1169
minibatch_partial,DEEP_1M,0.3,500,-1.36,-1.972,-0.745,True,-0.2262,1.053,1.0596
minibatch_partial,DEEP_1M,0.5,500,-0.987,-1.384,-0.605,True,-0.2355,1.03,1.0405
random_proj,DEEP_1M,0.01,921,24.966,19.988,30.575,True,0.1241,1.4879,1.2987
random_proj,DEEP_1M,0.05,1000,9.047,6.931,11.15,True,0.1906,1.2031,1.1948
random_proj,DEEP_1M,0.1,1000,6.003,4.729,7.341,True,0.2249,1.1494,1.1169
random_proj,DEEP_1M,0.3,1000,3.349,2.692,4.074,True,0.2725,1.0794,1.0596
random_proj,DEEP_1M,0.5,1000,2.581,2.125,3.069,True,0.3284,1.0568,1.0405
pca1d,DEEP_1M,0.01,473,6.806,1.662,12.44,True,-0.116,1.3247,1.2987
pca1d,DEEP_1M,0.05,500,-0.059,-1.878,1.819,False,-0.1102,1.1764,1.1948
pca1d,DEEP_1M,0.1,500,-1.49,-2.8,-0.232,True,-0.1745,1.0963,1.1169
pca1d,DEEP_1M,0.3,500,-1.421,-2.052,-0.788,True,-0.2302,1.0481,1.0596
pca1d,DEEP_1M,0.5,500,-1.309,-1.715,-0.935,True,-0.3057,1.0261,1.0405
hilbert,DEEP_1M,0.01,953,9.861,5.916,13.708,True,-0.0716,1.3004,1.2987
hilbert,DEEP_1M,0.05,1000,-1.823,-3.133,-0.605,True,-0.1893,1.1429,1.1948
hilbert,DEEP_1M,0.1,1000,-0.971,-1.812,-0.107,True,-0.1425,1.1024,1.1169
hilbert,DEEP_1M,0.3,1000,-1.037,-1.484,-0.58,True,-0.1785,1.05,1.0596
hilbert,DEEP_1M,0.5,1000,-0.735,-1.014,-0.437,True,-0.1827,1.0344,1.0405
zorder,DEEP_1M,0.01,472,13.076,7.202,18.939,True,-0.0324,1.3356,1.2987
zorder,DEEP_1M,0.05,500,-0.959,-2.881,1.021,False,-0.1552,1.1596,1.1948
zorder,DEEP_1M,0.1,500,-1.387,-2.556,-0.188,True,-0.174,1.1006,1.1169
zorder,DEEP_1M,0.3,500,-1.475,-2.101,-0.847,True,-0.2407,1.0499,1.0596
zorder,DEEP_1M,0.5,500,-1.091,-1.493,-0.707,True,-0.266,1.0303,1.0405
hybrid,DEEP_1M,0.01,481,10.446,4.686,16.191,True,-0.06,1.3747,1.2987
hybrid,DEEP_1M,0.05,500,-2.509,-4.242,-0.865,True,-0.2238,1.1392,1.1948
hybrid,DEEP_1M,0.1,500,-2.773,-4.014,-1.535,True,-0.263,1.0872,1.1169
hybrid,DEEP_1M,0.3,500,-1.304,-1.962,-0.661,True,-0.2149,1.0501,1.0596
hybrid,DEEP_1M,0.5,500,-0.93,-1.352,-0.526,True,-0.2214,1.0315,1.0405
kdtree,DEEP_1M,0.01,479,13.212,6.604,19.822,True,0.0018,1.4271,1.2987
kdtree,DEEP_1M,0.05,500,0.405,-1.584,2.439,False,-0.0853,1.163,1.1948
kdtree,DEEP_1M,0.1,500,-0.675,-1.962,0.645,False,-0.1183,1.1043,1.1169
kdtree,DEEP_1M,0.3,500,-0.614,-1.306,0.054,False,-0.1221,1.0562,1.0596
