method,sel,DEEP_1M,DEEP_8M,SIFT_1.5M,SIFT_1M,SIFT_8M
birch,0.01,19.011,,24.794,16.433,
birch,0.05,-0.872,,0.037,0.755,
birch,0.1,-1.009,-1.278,-6.459,-2.472,
birch,0.3,-1.015,-0.581,-5.851,-2.06,
birch,0.5,-0.664,,-4.31,-0.905,
distance_shell,0.01,10.673,,17.351,14.908,18.838
distance_shell,0.05,6.225,,8.22,6.669,9.147
distance_shell,0.1,7.587,6.141,4.836,6.389,8.57
distance_shell,0.3,6.8,6.33,4.378,5.965,6.252
distance_shell,0.5,3.794,,2.569,3.477,3.36
gmm,0.01,9.42,,13.819,14.501,15.396
gmm,0.05,-2.263,,-3.473,-1.061,1.495
gmm,0.1,-1.487,-1.627,-7.648,-2.588,-0.365
gmm,0.3,-0.889,-0.483,-6.29,-1.512,-1.935
gmm,0.5,-0.471,,-4.433,-0.393,-1.169
hdbscan,0.01,11.165,,16.465,15.173,
hdbscan,0.05,-2.363,,-4.226,-2.807,
hdbscan,0.1,-2.421,-2.131,-8.554,-4.817,
hdbscan,0.3,-1.259,-1.253,-7.065,-2.614,
hdbscan,0.5,-1.149,,-4.684,-1.143,
hilbert,0.01,9.861,,12.839,12.327,15.636
hilbert,0.05,-1.823,,-2.88,-1.361,0.392
hilbert,0.1,-0.971,-2.207,-7.058,-3.697,-2.637
hilbert,0.3,-1.037,-1.113,-6.239,-2.716,-2.297
hilbert,0.5,-0.735,,-4.278,-1.165,-1.999
hybrid,0.01,10.446,,7.926,15.133,12.182
hybrid,0.05,-2.509,,-4.333,-0.136,-0.673
hybrid,0.1,-2.773,-1.728,-8.467,-3.277,-2.632
hybrid,0.3,-1.304,-1.025,-7.01,-2.492,-2.801
hybrid,0.5,-0.93,,-4.802,-0.929,-1.985
kde_pilot,0.01,8.927,,20.995,19.466,25.413
kde_pilot,0.05,0.408,,0.662,3.081,3.506
kde_pilot,0.1,1.128,6.657,-2.331,0.333,2.234
kde_pilot,0.3,-0.193,1.065,-2.768,-0.147,0.452
kde_pilot,0.5,-0.48,,-2.295,-0.069,-0.097
kdtree,0.01,13.212,,11.73,18.058,13.323
kdtree,0.05,0.405,,-3.162,-1.135,0.953
kdtree,0.1,-0.675,-1.591,-7.883,-3.331,-1.524
kdtree,0.3,-0.614,-0.641,-6.803,-2.191,-2.162
kdtree,0.5,-0.788,,-4.659,-0.841,-1.776
lsh,0.01,21.885,,34.494,68.277,74.879
lsh,0.05,4.123,,6.573,9.122,11.153
lsh,0.1,2.609,1.329,-0.175,3.444,6.469
lsh,0.3,1.16,1.078,-2.192,1.515,0.758
lsh,0.5,0.799,,-1.242,1.395,0.253
minibatch,0.01,10.098,,16.251,11.478,14.127
minibatch,0.05,0.365,,5.078,-2.131,-1.949
minibatch,0.1,-0.392,-2.129,0.774,-4.65,-2.288
minibatch,0.3,-0.983,-0.841,-0.128,-2.519,-2.569
minibatch,0.5,-0.601,,0.005,-1.226,-2.21
minibatch_partial,0.01,6.853,,16.372,14.045,13.173
minibatch_partial,0.05,-2.784,,-1.833,-2.112,0.8
minibatch_partial,0.1,-2.263,-1.976,-8.023,-3.598,-2.099
minibatch_partial,0.3,-1.36,-1.14,-6.818,-2.508,-2.363
minibatch_partial,0.5,-0.987,,-4.634,-1.03,-1.994
pca1d,0.01,6.806,,11.87,15.615,14.665
pca1d,0.05,-0.059,,-2.607,-0.317,0.917
pca1d,0.1,-1.49,-1.306,-7.276,-3.197,-0.967
pca1d,0.3,-1.421,-0.605,-6.477,-2.078,-2.162
pca1d,0.5,-1.309,,-4.528,-0.734,-1.815
pq,0.01,64.42,,123.707,94.594,88.24
pq,0.05,6.211,,18.436,10.398,6.186
pq,0.1,3.023,1.783,-0.516,0.769,1.819
pq,0.3,0.201,0.153,-3.196,-1.129,-1.354
pq,0.5,0.209,,-2.48,-0.024,-0.902
random_proj,0.01,24.966,,48.868,613.397,531.604
random_proj,0.05,9.047,,17.671,627.973,95.352
random_proj,0.1,6.003,2.503,11.022,49.19,31.789
random_proj,0.3,3.349,1.438,8.54,12.097,11.669
random_proj,0.5,2.581,,6.052,7.596,6.272
sobol,0.01,141.563,,297.5,20.464,130.697
sobol,0.05,3.725,,22.727,2.237,7.196
sobol,0.1,1.65,2.223,-0.98,-0.886,2.001
sobol,0.3,-0.173,1.582,-4.133,-1.258,-1.142
sobol,0.5,0.253,,-3.542,-0.028,-0.84
sparse_rp,0.01,8.204,,15.042,10.513,18.18
sparse_rp,0.05,-0.419,,-3.404,0.511,0.968
sparse_rp,0.1,0.129,-0.94,-7.409,-2.476,-0.585
sparse_rp,0.3,-0.475,-0.394,-5.298,-1.699,-1.736
sparse_rp,0.5,-0.356,,-3.518,-0.596,-1.39
spectral,0.01,38.365,,32.753,13.752,
spectral,0.05,4.846,,6.035,0.747,
spectral,0.1,2.302,0.779,-3.435,-3.022,
spectral,0.3,-0.017,0.382,-5.154,-2.182,
spectral,0.5,-0.043,,-3.782,-0.815,
zorder,0.01,13.076,,16.582,12.155,13.334
zorder,0.05,-0.959,,-4.6,-2.586,-0.597
zorder,0.1,-1.387,-1.187,-7.649,-4.345,-1.4
zorder,0.3,-1.475,-0.921,-6.855,-2.626,-2.431
zorder,0.5,-1.091,,-4.872,-1.039,-1.95
