method,scale,sel,mode_kind,n_cells,mean_q_error,std_q_error,median_q_error
birch,1M,0.01,method,500,1.7719,1.0168,1.479
birch,1M,0.05,method,500,1.2044,0.1903,1.1449
birch,1M,0.1,method,500,1.1298,0.1114,1.1023
birch,1M,0.3,method,500,1.0629,0.0518,1.0515
birch,1M,0.5,method,500,1.0415,0.0332,1.0337
birch,8M,0.01,method,500,1.7492,0.9923,1.4565
birch,8M,0.05,method,500,1.2078,0.1909,1.1609
birch,8M,0.1,method,500,1.1284,0.1039,1.1034
birch,8M,0.3,method,500,1.0607,0.0469,1.0518
birch,8M,0.5,method,500,1.0405,0.0346,1.0304
distance_shell,1M,0.01,method,500,1.6873,0.8064,1.2987
distance_shell,1M,0.01,bernoulli,500,1.6222,0.7069,1.2987
distance_shell,1M,0.05,method,500,1.3403,0.3381,1.2564
distance_shell,1M,0.05,bernoulli,500,1.2424,0.2624,1.1688
distance_shell,1M,0.1,method,500,1.3001,0.2679,1.2297
distance_shell,1M,0.1,bernoulli,500,1.1598,0.1374,1.1324
distance_shell,1M,0.3,method,500,1.2148,0.1979,1.1564
distance_shell,1M,0.3,bernoulli,500,1.0805,0.0648,1.0649
distance_shell,1M,0.5,method,500,1.1246,0.1086,1.1016
distance_shell,1M,0.5,bernoulli,500,1.0523,0.041,1.0442
distance_shell,8M,0.01,method,500,1.6666,0.787,1.3518
distance_shell,8M,0.01,bernoulli,500,1.6787,0.7753,1.3446
distance_shell,8M,0.05,method,500,1.3058,0.2632,1.2402
distance_shell,8M,0.05,bernoulli,500,1.2349,0.2182,1.1821
distance_shell,8M,0.1,method,500,1.2799,0.2278,1.2308
distance_shell,8M,0.1,bernoulli,500,1.1452,0.1152,1.1188
distance_shell,8M,0.3,method,500,1.1994,0.1682,1.1582
distance_shell,8M,0.3,bernoulli,500,1.069,0.0518,1.0596
distance_shell,8M,0.5,method,500,1.1158,0.0952,1.0874
distance_shell,8M,0.5,bernoulli,500,1.0442,0.0341,1.0383
gmm,1M,0.01,method,500,1.6313,0.8275,1.3689
gmm,1M,0.05,method,500,1.1863,0.1696,1.1303
gmm,1M,0.1,method,500,1.1247,0.1101,1.0952
gmm,1M,0.3,method,500,1.0643,0.0495,1.0539
gmm,1M,0.5,method,500,1.0435,0.0322,1.0401
gmm,8M,0.01,method,500,1.5807,0.7212,1.3763
gmm,8M,0.05,method,500,1.1995,0.1742,1.1549
gmm,8M,0.1,method,500,1.1245,0.1136,1.101
gmm,8M,0.3,method,500,1.0617,0.0474,1.0526
gmm,8M,0.5,method,500,1.042,0.0326,1.0342
hdbscan,1M,0.01,method,500,1.6407,0.7933,1.4001
hdbscan,1M,0.05,method,500,1.1851,0.1818,1.1408
hdbscan,1M,0.1,method,500,1.1143,0.107,1.0864
hdbscan,1M,0.3,method,500,1.0604,0.0473,1.0505
hdbscan,1M,0.5,method,500,1.0363,0.0287,1.0303
hdbscan,8M,0.01,method,500,1.6647,0.7796,1.4053
hdbscan,8M,0.05,method,500,1.1855,0.1605,1.1468
hdbscan,8M,0.1,method,500,1.119,0.0989,1.095
hdbscan,8M,0.3,method,500,1.0534,0.0431,1.0407
hdbscan,8M,0.5,method,500,1.0409,0.0307,1.0347
hilbert,1M,0.01,method,500,1.6016,0.6706,1.3406
hilbert,1M,0.01,bernoulli,500,1.6575,0.7484,1.2987
hilbert,1M,0.05,method,500,1.1742,0.1488,1.1327
hilbert,1M,0.05,bernoulli,500,1.2084,0.1969,1.1429
hilbert,1M,0.1,method,500,1.1229,0.0959,1.0985
hilbert,1M,0.1,bernoulli,500,1.1396,0.1173,1.1169
hilbert,1M,0.3,method,500,1.058,0.0455,1.0469
hilbert,1M,0.3,bernoulli,500,1.0676,0.057,1.0563
hilbert,1M,0.5,method,500,1.0368,0.0293,1.0299
hilbert,1M,0.5,bernoulli,500,1.0447,0.0336,1.0398
hilbert,8M,0.01,method,500,1.615,0.7054,1.3475
hilbert,8M,0.05,method,500,1.1752,0.1653,1.1236
hilbert,8M,0.1,method,500,1.1175,0.0956,1.0966
hilbert,8M,0.3,method,500,1.0549,0.0408,1.0464
hilbert,8M,0.5,method,500,1.0382,0.0293,1.031
hybrid,1M,0.01,method,500,1.636,0.7673,1.3732
hybrid,1M,0.05,method,500,1.182,0.1635,1.1392
hybrid,1M,0.1,method,500,1.1091,0.0954,1.0872
hybrid,1M,0.3,method,500,1.0598,0.0487,1.0501
hybrid,1M,0.5,method,500,1.0386,0.03,1.0315
hybrid,8M,0.01,method,500,1.655,0.836,1.3785
hybrid,8M,0.05,method,500,1.1822,0.1637,1.1422
hybrid,8M,0.1,method,500,1.1232,0.1003,1.0966
hybrid,8M,0.3,method,500,1.0559,0.044,1.0465
hybrid,8M,0.5,method,500,1.0377,0.0292,1.0312
importance_sampling,1M,0.01,method,500,2.3481,0.8016,2.0425
importance_sampling,1M,0.01,bernoulli,500,1.725,0.816,1.2987
importance_sampling,1M,0.05,method,500,2.3069,0.9552,2.2548
importance_sampling,1M,0.05,bernoulli,500,1.2652,0.2832,1.2031
importance_sampling,1M,0.1,method,500,2.2794,1.5901,1.7149
importance_sampling,1M,0.1,bernoulli,500,1.1738,0.1491,1.1324
importance_sampling,1M,0.3,method,500,1.2776,0.2584,1.1964
importance_sampling,1M,0.3,bernoulli,500,1.0836,0.0664,1.0694
importance_sampling,1M,0.5,method,500,1.1452,0.1198,1.1136
importance_sampling,1M,0.5,bernoulli,500,1.0513,0.0397,1.0405
importance_sampling,8M,0.01,method,500,2.5996,1.7262,2.1465
importance_sampling,8M,0.05,method,500,2.2476,0.9765,2.0717
importance_sampling,8M,0.1,method,500,2.2733,1.6986,1.5782
importance_sampling,8M,0.3,method,500,1.2388,0.2306,1.1786
importance_sampling,8M,0.5,method,500,1.1296,0.1027,1.1062
kde_pilot,1M,0.01,method,500,1.6529,3.0277,1.2206
kde_pilot,1M,0.01,bernoulli,500,1.6593,0.76,1.2987
kde_pilot,1M,0.05,method,500,1.1979,0.183,1.1548
kde_pilot,1M,0.05,bernoulli,500,1.2455,0.2309,1.199
kde_pilot,1M,0.1,method,500,1.136,0.1259,1.1047
kde_pilot,1M,0.1,bernoulli,500,1.1778,0.1542,1.1429
kde_pilot,1M,0.3,method,500,1.0637,0.0543,1.0508
kde_pilot,1M,0.3,bernoulli,500,1.0806,0.0668,1.0649
kde_pilot,1M,0.5,method,500,1.0379,0.0288,1.0309
kde_pilot,1M,0.5,bernoulli,500,1.0492,0.0414,1.0405
kde_pilot,8M,0.01,method,500,3.3807,3.7224,2.2131
kde_pilot,8M,0.01,bernoulli,500,1.6397,0.7366,1.331
kde_pilot,8M,0.05,method,500,1.6309,0.5992,1.4813
kde_pilot,8M,0.05,bernoulli,500,1.2165,0.2037,1.1682
kde_pilot,8M,0.1,method,500,1.2919,0.2391,1.2372
kde_pilot,8M,0.1,bernoulli,500,1.1438,0.1206,1.1122
kde_pilot,8M,0.3,method,500,1.0849,0.0682,1.0669
kde_pilot,8M,0.3,bernoulli,500,1.0714,0.0549,1.0585
kde_pilot,8M,0.5,method,500,1.0441,0.0345,1.0363
kde_pilot,8M,0.5,bernoulli,500,1.0443,0.0349,1.0356
kdtree,1M,0.01,method,500,1.7136,0.9768,1.4284
kdtree,1M,0.05,method,500,1.2189,0.215,1.163
kdtree,1M,0.1,method,500,1.1341,0.1216,1.1043
kdtree,1M,0.3,method,500,1.0671,0.0521,1.0562
kdtree,1M,0.5,method,500,1.0401,0.0306,1.0346
kdtree,8M,0.01,method,500,1.672,0.9099,1.4422
kdtree,8M,0.05,method,500,1.2019,0.1936,1.144
kdtree,8M,0.1,method,500,1.1245,0.1044,1.0995
kdtree,8M,0.3,method,500,1.06,0.051,1.0486
kdtree,8M,0.5,method,500,1.0382,0.0312,1.0297
lsh,1M,0.01,method,500,1.9323,1.4747,1.4801
lsh,1M,0.01,bernoulli,500,1.6919,0.7999,1.2987
lsh,1M,0.05,method,500,1.2583,0.2493,1.1936
lsh,1M,0.05,bernoulli,500,1.2707,0.32,1.1948
lsh,1M,0.1,method,500,1.1671,0.1472,1.1331
lsh,1M,0.1,bernoulli,500,1.1771,0.1628,1.1324
lsh,1M,0.3,method,500,1.0741,0.0599,1.0571
lsh,1M,0.3,bernoulli,500,1.0989,0.0815,1.0794
lsh,1M,0.5,method,500,1.0477,0.0386,1.0384
lsh,1M,0.5,bernoulli,500,1.066,0.0491,1.0577
lsh,8M,0.01,method,500,1.7368,1.2058,1.4348
lsh,8M,0.05,method,500,1.2505,0.2308,1.1981
lsh,8M,0.1,method,500,1.1576,0.1397,1.1262
lsh,8M,0.3,method,500,1.0784,0.0635,1.0627
lsh,8M,0.5,method,500,1.0485,0.0368,1.0416
minibatch,1M,0.01,method,500,1.593,0.6981,1.3674
minibatch,1M,0.01,bernoulli,500,1.6479,0.7252,1.2987
minibatch,1M,0.05,method,500,1.1862,0.1625,1.1492
minibatch,1M,0.05,bernoulli,500,1.2487,0.2152,1.2031
minibatch,1M,0.1,method,500,1.1165,0.096,1.0955
minibatch,1M,0.1,bernoulli,500,1.1587,0.1343,1.1324
minibatch,1M,0.3,method,500,1.0535,0.0445,1.0415
minibatch,1M,0.3,bernoulli,500,1.0729,0.0564,1.0596
minibatch,1M,0.5,method,500,1.0369,0.0284,1.0305
minibatch,1M,0.5,bernoulli,500,1.0474,0.0366,1.039
minibatch,8M,0.01,method,500,1.642,0.7867,1.4115
minibatch,8M,0.05,method,500,1.1946,0.1679,1.151
minibatch,8M,0.1,method,500,1.1185,0.1009,1.0942
minibatch,8M,0.3,method,500,1.0579,0.0445,1.0475
minibatch,8M,0.5,method,500,1.036,0.0277,1.0303
minibatch_partial,1M,0.01,method,500,1.5942,0.6894,1.3919
minibatch_partial,1M,0.05,method,500,1.1789,0.1683,1.1361
minibatch_partial,1M,0.1,method,500,1.1158,0.0942,1.0939
minibatch_partial,1M,0.3,method,500,1.059,0.0421,1.053
minibatch_partial,1M,0.5,method,500,1.0381,0.0301,1.03
minibatch_partial,8M,0.01,method,500,1.6503,0.7509,1.4007
minibatch_partial,8M,0.05,method,500,1.1823,0.1841,1.1375
minibatch_partial,8M,0.1,method,500,1.1206,0.1118,1.0902
minibatch_partial,8M,0.3,method,500,1.0548,0.0434,1.0455
minibatch_partial,8M,0.5,method,500,1.0376,0.0294,1.0309
pca1d,1M,0.01,method,500,1.5861,0.689,1.3248
pca1d,1M,0.05,method,500,1.2132,0.1886,1.1764
pca1d,1M,0.1,method,500,1.124,0.1067,1.0963
pca1d,1M,0.3,method,500,1.0584,0.0467,1.0481
pca1d,1M,0.5,method,500,1.0347,0.0297,1.0261
pca1d,8M,0.01,method,500,1.6429,0.7121,1.3463
pca1d,8M,0.05,method,500,1.1947,0.1713,1.1466
pca1d,8M,0.1,method,500,1.1272,0.1077,1.0985
pca1d,8M,0.3,method,500,1.0602,0.0487,1.0512
pca1d,8M,0.5,method,500,1.0381,0.0303,1.0314
pq,1M,0.01,method,500,2.3528,3.0333,1.5991
pq,1M,0.05,method,500,1.2901,0.3428,1.2071
pq,1M,0.1,method,500,1.1765,0.1507,1.1381
pq,1M,0.3,method,500,1.0757,0.06,1.0629
pq,1M,0.5,method,500,1.0506,0.0376,1.043
pq,8M,0.01,method,500,2.0723,2.1761,1.4877
pq,8M,0.05,method,500,1.2675,0.2526,1.2076
