method,sel,1M,8M,delta_pct
minibatch,0.1,1.1375869198428745,1.1185062964232593,-1.6772892766955074
minibatch,0.3,1.063174718585632,1.0578670163633346,-0.49923141789510783
random_proj,0.1,1.211838285373137,1.171329589439095,-3.3427476605567983
random_proj,0.3,1.1101265128981914,1.0818063723104132,-2.5510732568527907
hilbert,0.1,1.1312728024146859,1.1175320207412274,-1.2146302504691164
hilbert,0.3,1.0627691687524021,1.0549473559528364,-0.7359841656629778
zorder,0.1,1.1269875223322445,1.1288999555151544,0.16969426413455008
zorder,0.3,1.0580069982465554,1.0570350283845902,-0.09186799932099626
lsh,0.1,1.172081363733491,1.1576393456160523,-1.2321685647689016
lsh,0.3,1.0864733449265347,1.0784427155372804,-0.739146471172495
kdtree,0.1,1.134127897895028,1.1244513498038553,-0.8532148895316499
kdtree,0.3,1.067066677618213,1.0600151646942355,-0.6608315180188207
pca1d,0.1,1.124002978356938,1.1272434687281574,0.28829909116043895
pca1d,0.3,1.0584378958914578,1.060190638484427,0.16559711247801515
pq,0.1,1.1765483723765888,1.1625282357192657,-1.1916328292565603
pq,0.3,1.0757384669756027,1.0684032591109025,-0.6818765052924867
spectral,0.1,1.1687856785076196,1.151373835689247,-1.4897378654233058
spectral,0.3,1.073451942677408,1.0709619648711033,-0.23195987703876755
birch,0.1,1.1298358569528844,1.12843905524823,-0.12362872855013682
birch,0.3,1.0628685488998892,1.060732770450685,-0.20094474066570334
hybrid,0.1,1.1090837830599924,1.123240618259505,1.276444161905731
hybrid,0.3,1.0598036368088417,1.0558732297293314,-0.37086182222822894
minibatch_partial,0.1,1.115812637538351,1.1206038006883938,0.42938778329422933
minibatch_partial,0.3,1.0589846081641379,1.0547503622348762,-0.3998401767710494
gmm,0.1,1.1246613724237648,1.124478807635338,-0.016232867323732608
gmm,0.3,1.0643351637082146,1.0616702566687704,-0.25038231661533256
hdbscan,0.1,1.1143134466765232,1.1189948072282345,0.42011164503790416
hdbscan,0.3,1.060371930421421,1.0534228759060584,-0.6553412360322283
sobol,0.1,1.1608036567332873,1.1681035029508844,0.6288614078060493
sobol,0.3,1.0720891580943208,1.083715787294093,1.084483423042816
sparse_rp,0.1,1.143375318390428,1.1323583109733384,-0.9635512713881837
sparse_rp,0.3,1.0687641954818745,1.0626374484035672,-0.5732552703587644
kde_pilot,0.1,1.1569060984862758,1.2178453519077634,5.2674329836468194
kde_pilot,0.3,1.07216773277207,1.0781263910548056,0.5557580311925225
distance_shell,0.1,1.229922651781323,1.2125472381990083,-1.4127240893685125
distance_shell,0.3,1.1476762443754942,1.13419159445872,-1.1749524295601217
