selectivity,seed,query_id,bernoulli,birch,distance_shell,gmm,hdbscan,hilbert,hybrid,kde_pilot,kdtree,km20,lsh,minibatch,minibatch_partial,pca1d,pq,random_proj,sobol,sparse_rp,spectral,zorder,best,worst,spread
0.01,0.1,0,2.2077663355304633,1.2072442777705936,3.6235718749999997,1.2773353588245342,2.8198206721738326,1.194199978129505,1.1928161162585058,2.308096403695823,1.041868300474275,1.009256541872783,2.3023696331607018,1.250546336312396,1.2062323282806924,1.116418578153998,1.4182468256436962,1.3515660856770386,1.0886857213651582,1.2123761425785293,1.2480257653230626,1.1908807125613918,km20,distance_shell,2.614315333127217
0.01,0.1,1,1.011424993512657,4.769428144654568,1.011424993512657,1.526861267774318,1.7106455691176152,2.031023480353777,1.4779488325072978,1.2930878953897225,1.0832182643324952,1.0269160269556072,1.2535318070786008,1.3422616310422433,2.0855184701757805,1.9637209255528139,1.2019867975934142,2.3267952623076877,12.880245497966557,1.3232050847457626,1.7191785196000062,1.4918337088553604,bernoulli,sobol,11.8688205044539
0.01,0.1,2,1.3331293645405586,1.4665667922821781,1.50997125,1.0067182352678987,1.5262475806113944,1.0522304973303997,1.401621654367638,1.2638779432681093,2.089114537539405,1.3209591651775525,1.63083976717834,1.4005741258045756,1.5445468702937573,1.5666756148589969,2.3862370595743037,4.061489596304809,1.0859385049496046,1.2339560282966902,1.5705475483303686,1.5578313228602338,gmm,random_proj,3.0547713610369103
0.01,0.1,3,1.3127808735703406,1.0391817012001365,1.9043543749999998,1.3930115324499766,1.0796050802754276,1.0756149173570757,3.256564193512548,2.9766721612042852,1.0095401909918038,,2.1572576408294752,1.2037071273620101,1.8932777658864561,1.3488253625395523,1.3371254068303609,1.3835810116127043,1.7688358863482907,1.0374423587715087,1.1710797814640885,1.3447800023674967,kdtree,hybrid,2.247024002520744
0.01,0.1,4,1.3024229166666665,1.1291161491840715,1.0237330104308797,1.1167748250209224,1.8701431269715418,1.566661048482766,1.784467720292232,1.1913262050679843,1.128779795282022,1.8662147918138738,1.1657971422587123,1.1516965501588743,1.1102430296704935,1.2947246147157516,,1.5370678266055582,2.5178146128963252,1.3072955576857799,1.2480360509049133,1.95355122055002,distance_shell,sobol,1.4940816024654455
0.01,0.1,5,1.2787370170230268,1.2931134375095141,1.9550540625,1.4376915408189639,1.1205984073650137,1.4646217184211496,1.6898501098960896,2.7426226792188007,1.9865153357654373,1.1424948175427199,1.0792965340014578,1.2122253812354613,1.3427766815076303,1.9651331093305762,1.6612782926559098,1.6525459746549107,2.26696954976366,1.2864414279654768,1.6131822189228564,2.027757534615807,lsh,kde_pilot,1.663326145217343
0.01,0.1,6,1.2543299999999997,4.538089579775974,1.881495,1.0114091628703434,1.634428209104714,1.2234402793332895,1.6215240982719255,1.358546018862612,1.4770809306025054,2.753138293862342,1.3079437390283566,1.8946675120890006,3.469778217895779,1.8358218361332335,1.6147770871700429,1.7871502536267003,1.8342841978719047,1.5750709118176045,1.2019514089463847,1.317261255694485,gmm,birch,3.5266804169056307
0.01,0.1,7,1.355761928883169,1.0510249053274028,1.626914314659803,5.9043840049310425,1.0252982006209417,1.0289046494330116,1.1354239996923137,1.226037557906959,1.5161985320327163,2.0467295105933156,2.900296199208409,1.2516708873240716,1.5874459340768605,1.5575979016872628,2.1735229497804642,1.1638652648611598,1.5187862077367893,1.213356844464037,,1.9380593863094346,hdbscan,gmm,4.879085804310101
0.01,0.1,8,1.3435537499999999,,1.2404912469387002,1.2741958593022422,2.01324555747848,1.0274125100359608,1.0409853166478773,1.4101478698664183,3.071642828189241,,1.1532218728280692,1.7007252358310974,1.3841760290340812,1.4038634152228517,1.611591088186833,2.376578398326133,1.8235061027385033,1.326103894913421,1.8747034234342932,1.3935170857833103,hilbert,kdtree,2.0442303181532804
0.01,0.1,9,3.8423962499999997,1.7539276254813783,1.9211981249999999,2.0084373013239816,1.0913758620644192,1.9424352100329665,1.0848893011065275,4.657435886557919,1.639315938452127,1.3101942125170898,,1.2090416188618394,1.0592351473106756,1.010852057814183,1.4591379817244319,1.8340968360881094,1.2207087845281195,1.3183933004526045,1.214862731942387,1.2754965110037573,pca1d,kde_pilot,3.646583828743736
0.01,0.1,10,1.9841937499999998,1.004399705874245,1.3518682692307693,1.0628768513543583,1.2888193763333,1.5458582789741757,1.0290673628042943,2.170942414752707,1.6086693224211792,1.1273676551310365,2.130113912026924,1.6542719276970015,1.046098267740659,1.952360480258198,2.6504287572721257,1.2527477368938702,1.706052057137751,1.0307506442191527,1.6978397120714221,1.955308726716795,birch,pq,1.6460290513978806
0.01,0.1,11,1.7982437901584367,8.028528293212972,1.455966,1.4608003498057394,1.430995268138948,3.753612923237746,1.6185197933699578,1.4513965056182698,1.2778859136169822,1.0441828854158466,1.6660477561843574,1.6943346261633816,1.233811598135538,1.0461124128332377,1.0727276293432262,3.487766685351567,2.270535761773344,,1.5458569882740898,1.048492601439435,km20,birch,6.984345407797125
0.01,0.1,12,1.0353889470935662,1.4941038867914918,1.2274368969576952,1.4249596170321297,1.0345490901494125,1.5708332568428396,,3.500697511250599,1.291241925882023,1.4853043840854314,1.7064432969413417,4.229891815290069,1.2828304848273457,1.266094677110346,1.4742552666983118,8.01254484993985,1.462773339010863,1.3112662629716951,3.460851158309065,1.3151095824668053,hdbscan,random_proj,6.977995759790438
0.01,0.1,13,1.0453507453922493,1.9942347599703187,1.275488958333333,1.7358850588263546,1.7329175518369484,1.9311392592763033,1.1456004185924828,2.905163393562998,1.4579041364021794,1.642632066526909,1.4571368535802243,1.3258211210762627,2.82906956057641,1.0205960247804176,1.9503429184574923,2.6900807535813813,1.4768333233864945,1.0458672053982603,1.148678764966685,1.3425084042907047,pca1d,kde_pilot,1.8845673687825806
0.01,0.1,14,1.9494474999999998,1.3799142452714328,1.2333239285714284,2.8030885062339865,1.2966928559920587,1.5169559749081403,1.734801466164331,1.4988895936140925,3.1249256479539738,2.213030001552697,1.2471994194821554,1.302605593177176,1.5653185465639017,1.335307590552886,1.7315620891000092,1.0543465098512055,,1.7540382536523,7.5189964928048765,1.3489931697812994,random_proj,spectral,6.464649982953671
0.01,0.1,15,1.98400125,1.0199489904406884,1.731321609761191,1.1976982461246988,1.119594410132314,1.3161354519249404,2.951649552520019,1.3731953355130095,1.2881555590081688,2.56217903007386,,1.6242821979997297,1.2533516171847936,1.023452879761622,1.4989494069603224,1.3987456816980597,,1.2255934553309487,1.0123389201738864,1.7837785046227852,spectral,hybrid,1.9393106323461324
0.01,0.1,16,1.5807699337558603,1.2156003550145809,1.12061125,1.0848630428550332,1.3761185962242999,3.743648291471598,1.5285057689869406,5.138738701128517,1.321447685398357,1.6693636626743107,1.6471802366318993,1.3407379231647014,1.1666215130509519,1.2514489292120832,1.4105135032331684,1.511823453651245,1.4083869525468293,1.8731624999999998,,1.0693666459797269,zorder,kde_pilot,4.06937205514879
0.01,0.1,17,2.5955856874214027,1.1585180833942557,1.6762459826508538,1.1885810377337114,1.2391148564425956,2.035704159721507,1.3341206550151736,1.582420164614386,1.7904702234751466,1.3784346136558066,1.6978200561708112,1.5707692772953668,1.2841968997110171,2.001119843221949,1.9601163391567344,1.175182155227382,1.4423765876379966,1.0518945948362464,2.2217282010309205,2.051991859290815,sparse_rp,bernoulli,1.5436910925851564
0.01,0.1,18,1.3281361153579185,1.131336490766935,1.6672129375,1.155054826350842,1.7078717918076187,1.6307587971039748,1.0804177646662358,,,1.200395878929943,1.078956289694653,1.128782261878891,2.8684471546355086,1.252724903579038,1.4221074565047873,1.8711325272671369,1.0163018505653443,1.8578912499999998,1.287720015905129,1.2169726197884256,sobol,minibatch_partial,1.8521453040701643
0.01,0.1,19,1.0882306831402122,1.5932928915330893,1.837845625,1.5156948218409823,1.7593027682206235,1.380642813926854,1.2627013014218755,1.704999677258818,1.7176095072844069,3.2994006802597355,1.258312840985159,1.3434593953061655,1.1297605924154381,1.100588347981163,1.3731221999295264,1.4365015289744922,2.4066834720886265,1.9156790809147304,1.6226227654422394,1.2048363421405703,bernoulli,km20,2.2111699971195233
0.01,0.1,20,1.505995273057337,1.6680010528041513,1.389123764887783,1.0003039830685245,3.702721379004971,1.5197617954726645,1.191414897255702,2.054189219868727,,2.4238825786877998,2.238210836070146,1.5160224777390532,1.3421681392862002,1.949501697364654,1.3137046103528942,1.8137934585939397,1.3551668728630701,1.0082910256410256,10.384801769385668,1.9765393904513935,gmm,spectral,9.384497786317143
0.01,0.1,21,1.2999204166666665,1.707301483587786,1.263135256273939,1.2397507318727403,1.2954530921329408,1.273151620567325,1.1656822967101272,1.3955760820510659,3.1064485734289153,1.5764660188121167,1.1169249702169495,1.660687586627056,1.1479950586043803,1.5328348204717188,3.1640570894257145,1.0930824629260452,1.0567620089293255,1.3047847457627115,1.2279866676982,1.2652053134291907,sobol,pq,2.107295080496389
0.01,0.1,22,1.9555593749999998,1.9070231577595353,1.5340879128254545,2.069200002590456,3.9327565436425362,1.2864907747404688,1.8868011436860888,7.010814583611082,1.2468890959684622,1.5929625096332563,1.1953613356697685,1.076074276324317,3.888369867670574,1.0377798501421513,,1.1954348144174023,1.2882021669757382,1.0361815391191158,1.1562704565030146,2.0770297837617298,sparse_rp,kde_pilot,5.974633044491966
