,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.618,0.502,0.427,0.455,0.459,0.523,0.475,0.582,0.444,0.624,0.633,0.62,0.627,0.523,0.259
minibatch_partial,0.618,1.0,0.502,0.427,0.452,0.455,0.521,0.479,0.583,0.446,0.627,0.638,0.622,0.629,0.522,0.26
random_proj,0.502,0.502,1.0,0.331,0.345,0.35,0.408,0.384,0.461,0.345,0.507,0.518,0.503,0.51,0.404,0.184
pca1d,0.427,0.427,0.331,1.0,0.562,0.495,0.368,0.327,0.385,0.282,0.427,0.438,0.434,0.436,0.505,0.16
hilbert,0.455,0.452,0.345,0.562,1.0,0.727,0.392,0.343,0.408,0.302,0.455,0.461,0.459,0.463,0.606,0.167
zorder,0.459,0.455,0.35,0.495,0.727,1.0,0.394,0.346,0.414,0.303,0.456,0.465,0.462,0.466,0.599,0.166
hybrid,0.523,0.521,0.408,0.368,0.392,0.394,1.0,0.403,0.5,0.357,0.521,0.531,0.529,0.534,0.447,0.205
kdtree,0.475,0.479,0.384,0.327,0.343,0.346,0.403,1.0,0.442,0.323,0.477,0.487,0.477,0.482,0.391,0.176
pq,0.582,0.583,0.461,0.385,0.408,0.414,0.5,0.442,1.0,0.404,0.589,0.603,0.584,0.591,0.483,0.217
lsh,0.444,0.446,0.345,0.282,0.302,0.303,0.357,0.323,0.404,1.0,0.462,0.464,0.449,0.452,0.362,0.174
spectral,0.624,0.627,0.507,0.427,0.455,0.456,0.521,0.477,0.589,0.462,1.0,0.648,0.632,0.639,0.532,0.258
birch,0.633,0.638,0.518,0.438,0.461,0.465,0.531,0.487,0.603,0.464,0.648,1.0,0.642,0.647,0.539,0.267
gmm,0.62,0.622,0.503,0.434,0.459,0.462,0.529,0.477,0.584,0.449,0.632,0.642,1.0,0.641,0.534,0.259
hdbscan,0.627,0.629,0.51,0.436,0.463,0.466,0.534,0.482,0.591,0.452,0.639,0.647,0.641,1.0,0.534,0.264
sobol,0.523,0.522,0.404,0.505,0.606,0.599,0.447,0.391,0.483,0.362,0.532,0.539,0.534,0.534,1.0,0.196
sparse_rp,0.259,0.26,0.184,0.16,0.167,0.166,0.205,0.176,0.217,0.174,0.258,0.267,0.259,0.264,0.196,1.0
