,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.525,0.353,0.227,0.255,0.257,0.337,0.296,0.401,0.297,0.525,0.555,0.519,0.53,0.356,0.104
minibatch_partial,0.525,1.0,0.367,0.23,0.255,0.257,0.335,0.301,0.424,0.313,0.548,0.579,0.542,0.554,0.379,0.106
random_proj,0.353,0.367,1.0,0.151,0.161,0.162,0.224,0.209,0.313,0.238,0.372,0.399,0.363,0.369,0.274,0.068
pca1d,0.227,0.23,0.151,1.0,0.297,0.232,0.172,0.156,0.157,0.124,0.213,0.225,0.229,0.233,0.219,0.059
hilbert,0.255,0.255,0.161,0.297,1.0,0.479,0.19,0.177,0.169,0.133,0.236,0.248,0.254,0.26,0.285,0.061
zorder,0.257,0.257,0.162,0.232,0.479,1.0,0.197,0.179,0.175,0.133,0.235,0.249,0.256,0.262,0.276,0.063
hybrid,0.337,0.335,0.224,0.172,0.19,0.197,1.0,0.219,0.279,0.187,0.322,0.342,0.344,0.352,0.236,0.077
kdtree,0.296,0.301,0.209,0.156,0.177,0.179,0.219,1.0,0.21,0.154,0.277,0.291,0.296,0.303,0.193,0.067
pq,0.401,0.424,0.313,0.157,0.169,0.175,0.279,0.21,1.0,0.299,0.474,0.508,0.423,0.428,0.359,0.071
lsh,0.297,0.313,0.238,0.124,0.133,0.133,0.187,0.154,0.299,1.0,0.339,0.355,0.314,0.317,0.263,0.071
spectral,0.525,0.548,0.372,0.213,0.236,0.235,0.322,0.277,0.474,0.339,1.0,0.63,0.541,0.553,0.402,0.096
birch,0.555,0.579,0.399,0.225,0.248,0.249,0.342,0.291,0.508,0.355,0.63,1.0,0.574,0.584,0.432,0.102
gmm,0.519,0.542,0.363,0.229,0.254,0.256,0.344,0.296,0.423,0.314,0.541,0.574,1.0,0.579,0.391,0.104
hdbscan,0.53,0.554,0.369,0.233,0.26,0.262,0.352,0.303,0.428,0.317,0.553,0.584,0.579,1.0,0.389,0.106
sobol,0.356,0.379,0.274,0.219,0.285,0.276,0.236,0.193,0.359,0.263,0.402,0.432,0.391,0.389,1.0,0.072
sparse_rp,0.104,0.106,0.068,0.059,0.061,0.063,0.077,0.067,0.071,0.071,0.096,0.102,0.104,0.106,0.072,1.0
