,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,1.0,0.59,0.46,0.51,0.507,0.663,0.61,0.556,0.422,1.0,1.0,0.968,1.0,0.508,0.216
minibatch_partial,1.0,1.0,0.59,0.46,0.51,0.507,0.663,0.61,0.556,0.422,1.0,1.0,0.968,1.0,0.508,0.216
random_proj,0.59,0.59,1.0,0.265,0.29,0.285,0.389,0.383,0.337,0.295,0.59,0.59,0.574,0.59,0.324,0.125
pca1d,0.46,0.46,0.265,1.0,0.375,0.329,0.344,0.287,0.254,0.197,0.46,0.46,0.446,0.46,0.334,0.105
hilbert,0.51,0.51,0.29,0.375,1.0,0.538,0.365,0.327,0.28,0.212,0.51,0.51,0.493,0.51,0.369,0.105
zorder,0.507,0.507,0.285,0.329,0.538,1.0,0.382,0.331,0.293,0.205,0.507,0.507,0.491,0.507,0.355,0.105
hybrid,0.663,0.663,0.389,0.344,0.365,0.382,1.0,0.428,0.477,0.279,0.663,0.663,0.653,0.663,0.391,0.145
kdtree,0.61,0.61,0.383,0.287,0.327,0.331,0.428,1.0,0.363,0.253,0.61,0.61,0.589,0.61,0.321,0.131
pq,0.556,0.556,0.337,0.254,0.28,0.293,0.477,0.363,1.0,0.28,0.556,0.556,0.542,0.556,0.314,0.117
lsh,0.422,0.422,0.295,0.197,0.212,0.205,0.279,0.253,0.28,1.0,0.422,0.422,0.411,0.422,0.252,0.123
spectral,1.0,1.0,0.59,0.46,0.51,0.507,0.663,0.61,0.556,0.422,1.0,1.0,0.968,1.0,0.508,0.216
birch,1.0,1.0,0.59,0.46,0.51,0.507,0.663,0.61,0.556,0.422,1.0,1.0,0.968,1.0,0.508,0.216
gmm,0.968,0.968,0.574,0.446,0.493,0.491,0.653,0.589,0.542,0.411,0.968,0.968,1.0,0.968,0.513,0.207
hdbscan,1.0,1.0,0.59,0.46,0.51,0.507,0.663,0.61,0.556,0.422,1.0,1.0,0.968,1.0,0.508,0.216
sobol,0.508,0.508,0.324,0.334,0.369,0.355,0.391,0.321,0.314,0.252,0.508,0.508,0.513,0.508,1.0,0.119
sparse_rp,0.216,0.216,0.125,0.105,0.105,0.105,0.145,0.131,0.117,0.123,0.216,0.216,0.207,0.216,0.119,1.0
