,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.009,0.008,0.004,0.009,0.009,0.01,0.006,0.009,0.004,0.011,0.001,0.009,0.012,0.009,0.001
minibatch_partial,0.009,1.0,0.007,0.003,0.004,0.004,0.007,0.007,0.007,0.003,0.01,0.001,0.007,0.01,0.004,0.002
random_proj,0.008,0.007,1.0,0.003,0.004,0.004,0.005,0.005,0.006,0.004,0.008,0.001,0.005,0.008,0.003,0.003
pca1d,0.004,0.003,0.003,1.0,0.195,0.137,0.006,0.003,0.002,0.0,0.005,0.0,0.007,0.007,0.096,0.0
hilbert,0.009,0.004,0.004,0.195,1.0,0.437,0.007,0.004,0.004,0.001,0.009,0.0,0.011,0.012,0.209,-0.0
zorder,0.009,0.004,0.004,0.137,0.437,1.0,0.007,0.004,0.004,0.001,0.009,0.0,0.011,0.012,0.18,0.0
hybrid,0.01,0.007,0.005,0.006,0.007,0.007,1.0,0.003,0.009,0.003,0.009,0.001,0.008,0.009,0.006,0.002
kdtree,0.006,0.007,0.005,0.003,0.004,0.004,0.003,1.0,0.006,0.004,0.006,0.001,0.004,0.006,0.004,-0.0
pq,0.009,0.007,0.006,0.002,0.004,0.004,0.009,0.006,1.0,0.005,0.009,0.001,0.006,0.009,0.004,0.001
lsh,0.004,0.003,0.004,0.0,0.001,0.001,0.003,0.004,0.005,1.0,0.005,0.0,0.002,0.003,0.0,0.001
spectral,0.011,0.01,0.008,0.005,0.009,0.009,0.009,0.006,0.009,0.005,1.0,0.002,0.01,0.014,0.007,0.002
birch,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.002,1.0,0.001,0.001,0.001,0.0
gmm,0.009,0.007,0.005,0.007,0.011,0.011,0.008,0.004,0.006,0.002,0.01,0.001,1.0,0.012,0.011,0.002
hdbscan,0.012,0.01,0.008,0.007,0.012,0.012,0.009,0.006,0.009,0.003,0.014,0.001,0.012,1.0,0.01,0.002
sobol,0.009,0.004,0.003,0.096,0.209,0.18,0.006,0.004,0.004,0.0,0.007,0.001,0.011,0.01,1.0,-0.0
sparse_rp,0.001,0.002,0.003,0.0,-0.0,0.0,0.002,-0.0,0.001,0.001,0.002,0.0,0.002,0.002,-0.0,1.0
