method_a,method_b,ari_iid,ari_clustered,ari_skewed
hilbert,zorder,0.4374436657187817,0.5377759055381416,0.4626739945700987
hilbert,pca1d,0.1951712280143409,0.37530297865273676,0.3195324551426873
zorder,pca1d,0.13673771196734005,0.3285298022538258,0.23111455142078305
minibatch,minibatch_partial,0.008612555679530365,1.0,0.5664543196053073
hybrid,minibatch,0.009859824649338891,0.6625382848904217,0.3373039767426475
hybrid,hilbert,0.007488039422660689,0.3648271457096949,0.19735801264176736
kdtree,minibatch,0.005763942321893238,0.6095458364331614,0.27253178655438476
pq,minibatch,0.009237033538837532,0.556446670504241,0.6359234063907105
lsh,random_proj,0.003629863826017544,0.29527015764021575,0.41478153638605114
hilbert,minibatch,0.009316720908442046,0.5103316585423229,0.24516238902025486
