,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.566,0.46,0.216,0.245,0.256,0.337,0.273,0.636,0.465,0.565,0.665,0.579,0.579,0.551,0.095
minibatch_partial,0.566,1.0,0.503,0.228,0.251,0.258,0.337,0.286,0.708,0.512,0.633,0.737,0.65,0.653,0.626,0.1
random_proj,0.46,0.503,1.0,0.186,0.188,0.196,0.277,0.239,0.596,0.415,0.517,0.605,0.51,0.51,0.496,0.076
pca1d,0.216,0.228,0.186,1.0,0.32,0.231,0.168,0.178,0.214,0.175,0.176,0.216,0.233,0.233,0.228,0.073
hilbert,0.245,0.251,0.188,0.32,1.0,0.463,0.197,0.2,0.224,0.188,0.188,0.233,0.256,0.257,0.277,0.079
zorder,0.256,0.258,0.196,0.231,0.463,1.0,0.203,0.201,0.229,0.195,0.19,0.238,0.265,0.266,0.294,0.083
hybrid,0.337,0.337,0.277,0.168,0.197,0.203,1.0,0.227,0.353,0.279,0.295,0.361,0.372,0.385,0.312,0.082
kdtree,0.273,0.286,0.239,0.178,0.2,0.201,0.227,1.0,0.262,0.206,0.215,0.263,0.294,0.294,0.254,0.07
pq,0.636,0.708,0.596,0.214,0.224,0.229,0.353,0.262,1.0,0.614,0.858,0.966,0.72,0.719,0.759,0.095
lsh,0.465,0.512,0.415,0.175,0.188,0.195,0.279,0.206,0.614,1.0,0.59,0.642,0.528,0.527,0.535,0.089
spectral,0.565,0.633,0.517,0.176,0.188,0.19,0.295,0.215,0.858,0.59,1.0,0.888,0.647,0.645,0.69,0.07
birch,0.665,0.737,0.605,0.216,0.233,0.238,0.361,0.263,0.966,0.642,0.888,1.0,0.752,0.75,0.786,0.09
gmm,0.579,0.65,0.51,0.233,0.256,0.265,0.372,0.294,0.72,0.528,0.647,0.752,1.0,0.757,0.65,0.102
hdbscan,0.579,0.653,0.51,0.233,0.257,0.266,0.385,0.294,0.719,0.527,0.645,0.75,0.757,1.0,0.65,0.102
sobol,0.551,0.626,0.496,0.228,0.277,0.294,0.312,0.254,0.759,0.535,0.69,0.786,0.65,0.65,1.0,0.096
sparse_rp,0.095,0.1,0.076,0.073,0.079,0.083,0.082,0.07,0.095,0.089,0.07,0.09,0.102,0.102,0.096,1.0
