,ARI_avg,ARI_rank,NMI_avg,NMI_rank,AMI_avg,AMI_rank
sparse_rp,0.082,1,0.215,1,0.214,1
pca1d,0.195,2,0.401,3,0.4,3
kdtree,0.222,3,0.402,4,0.401,4
zorder,0.227,4,0.438,6,0.437,6
hilbert,0.231,5,0.44,7,0.44,7
lsh,0.236,6,0.372,2,0.371,2
hybrid,0.254,7,0.443,8,0.442,8
random_proj,0.268,8,0.417,5,0.417,5
sobol,0.302,9,0.479,9,0.478,9
pq,0.313,10,0.484,10,0.483,10
minibatch,0.369,11,0.519,11,0.518,11
minibatch_partial,0.381,12,0.519,12,0.519,12
gmm,0.382,13,0.524,13,0.523,13
spectral,0.384,14,0.524,14,0.524,14
hdbscan,0.388,15,0.528,15,0.528,15
birch,0.405,16,0.533,16,0.532,16
