,minibatch,hilbert,random_proj,lsh,kde_pilot,kdtree,pca1d,zorder,hybrid,minibatch_partial,pq,spectral,birch,distance_shell,sobol,sparse_rp,gmm,hdbscan
minibatch,1.0,0.06387995201394396,0.06191848846426402,0.06087094201842962,0.06955293820260945,0.05774230353524283,0.06130990888558211,0.061767342857848184,0.060616747577000606,0.06331309199615753,0.061609320999563566,0.059503338971605174,0.06265274950338492,0.030518898770103584,0.0610270561519374,0.05516805473772436,0.05834759897329891,0.06935492226546278
hilbert,0.06387995201394396,1.0,0.0574652413897823,0.05324013998486542,0.07689296092667476,0.04970768311556664,0.0641410349640591,0.06479776137672086,0.061710807179091665,0.05762621956891083,0.05683914043212772,0.05202219944882238,0.05780857497014034,0.0276941377052122,0.05316204485262954,0.0544022543660973,0.05228961499823319,0.06999890135443279
random_proj,0.06191848846426401,0.0574652413897823,1.0,0.05304321332964339,0.0661157562842416,0.04809791132356617,0.04994820875857922,0.052372948853144696,0.050314366620186624,0.056465810944730986,0.05995083525808813,0.053382513856097234,0.0568555094784021,0.025835398685952127,0.049745268631089655,0.0541022386801859,0.05077170039094618,0.06018759037751816
lsh,0.06087094201842962,0.05324013998486542,0.05304321332964339,1.0,0.07868255834421134,0.056940448033109284,0.056749920282588365,0.057945241123427124,0.05434211505206021,0.06018461152034558,0.05901162118727324,0.04823494492329494,0.056538609629839955,0.024899214448471322,0.053661645320802115,0.05153867407926157,0.052368262809058416,0.05944611198933468
kde_pilot,0.06955293820260944,0.07689296092667476,0.0661157562842416,0.07868255834421134,1.0,0.06443123114258224,0.07348842821128825,0.07533452012570198,0.06906759508165779,0.07468119621714363,0.07984921516798714,0.06540784559844057,0.07827214753499664,0.03580809974237009,0.06959135979657578,0.07147725534049197,0.06940459695388411,0.0742825969867835
kdtree,0.05774230353524283,0.04970768311556664,0.04809791132356617,0.056940448033109284,0.06443123114258224,1.0,0.059581584833277995,0.056960198550500434,0.05403105829909128,0.059283777187100956,0.05056880911763859,0.05141985289144778,0.054293472224080506,0.023671493597428213,0.051310909367484496,0.05481275368738948,0.05316284891770588,0.053270381954584195
pca1d,0.06130990888558211,0.0641410349640591,0.04994820875857922,0.056749920282588365,0.07348842821128825,0.059581584833277995,1.0,0.05698907523793689,0.05991842378767103,0.06417631776715164,0.06462306281700018,0.06013748678944735,0.05990965429107259,0.02593640986070841,0.05235220099575969,0.055886037369479016,0.056855713108775484,0.05981797679458792
zorder,0.06176734285784819,0.06479776137672086,0.052372948853144696,0.057945241123427124,0.075334520125702,0.056960198550500434,0.05698907523793689,1.0,0.05453136282098509,0.05872730958904333,0.05978732671535804,0.056244935756878764,0.061138030387935006,0.02705436271615914,0.05662159515831456,0.05940923479615707,0.054406741204370446,0.0657773404940368
hybrid,0.060616747577000606,0.061710807179091665,0.05031436662018662,0.05434211505206021,0.06906759508165779,0.054031058299091286,0.059918423787671,0.05453136282098509,1.0,0.05372604962183692,0.055577947012518183,0.055683208832730195,0.0585014703792631,0.031622112770046125,0.04825756185415198,0.05932260053576721,0.05468881375595496,0.06397709014982682
minibatch_partial,0.06331309199615753,0.05762621956891083,0.056465810944730986,0.060184611520345564,0.07468119621714363,0.05928377718710097,0.06417631776715164,0.05872730958904333,0.05372604962183692,1.0,0.0630408280291033,0.05691602673285138,0.06399509690457186,0.02860168933473338,0.05481775784077286,0.059100795164935896,0.05476074045877965,0.06264924550744394
