,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,1.0,0.793,0.71,0.744,0.744,0.86,0.799,0.868,0.66,1.0,1.0,0.989,1.0,0.781,0.468
minibatch_partial,1.0,1.0,0.793,0.71,0.744,0.744,0.86,0.799,0.868,0.66,1.0,1.0,0.989,1.0,0.781,0.468
random_proj,0.793,0.793,1.0,0.512,0.545,0.547,0.645,0.61,0.641,0.488,0.793,0.793,0.78,0.793,0.584,0.313
pca1d,0.71,0.71,0.512,1.0,0.639,0.592,0.614,0.541,0.571,0.406,0.71,0.71,0.701,0.71,0.635,0.277
hilbert,0.744,0.744,0.545,0.639,1.0,0.747,0.65,0.565,0.61,0.443,0.744,0.744,0.733,0.744,0.669,0.282
zorder,0.744,0.744,0.547,0.592,0.747,1.0,0.655,0.572,0.625,0.431,0.744,0.744,0.733,0.744,0.657,0.279
hybrid,0.86,0.86,0.645,0.614,0.65,0.655,1.0,0.683,0.772,0.523,0.86,0.86,0.856,0.86,0.694,0.36
kdtree,0.799,0.799,0.61,0.541,0.565,0.572,0.683,1.0,0.677,0.481,0.799,0.799,0.791,0.799,0.603,0.329
pq,0.868,0.868,0.641,0.571,0.61,0.625,0.772,0.677,1.0,0.529,0.868,0.868,0.854,0.868,0.647,0.35
lsh,0.66,0.66,0.488,0.406,0.443,0.431,0.523,0.481,0.529,1.0,0.66,0.66,0.651,0.66,0.476,0.288
spectral,1.0,1.0,0.793,0.71,0.744,0.744,0.86,0.799,0.868,0.66,1.0,1.0,0.989,1.0,0.781,0.468
birch,1.0,1.0,0.793,0.71,0.744,0.744,0.86,0.799,0.868,0.66,1.0,1.0,0.989,1.0,0.781,0.468
gmm,0.989,0.989,0.78,0.701,0.733,0.733,0.856,0.791,0.854,0.651,0.989,0.989,1.0,0.989,0.78,0.456
hdbscan,1.0,1.0,0.793,0.71,0.744,0.744,0.86,0.799,0.868,0.66,1.0,1.0,0.989,1.0,0.781,0.468
sobol,0.781,0.781,0.584,0.635,0.669,0.657,0.694,0.603,0.647,0.476,0.781,0.781,0.78,0.781,1.0,0.33
sparse_rp,0.468,0.468,0.313,0.277,0.282,0.279,0.36,0.329,0.35,0.288,0.468,0.468,0.456,0.468,0.33,1.0
