,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.827,0.687,0.557,0.591,0.603,0.68,0.61,0.848,0.66,0.839,0.898,0.845,0.845,0.757,0.307
minibatch_partial,0.827,1.0,0.691,0.564,0.599,0.607,0.68,0.618,0.86,0.669,0.85,0.91,0.858,0.859,0.77,0.307
random_proj,0.687,0.691,1.0,0.47,0.476,0.49,0.564,0.527,0.722,0.537,0.705,0.759,0.714,0.714,0.613,0.234
pca1d,0.557,0.564,0.47,1.0,0.582,0.506,0.47,0.431,0.577,0.441,0.556,0.604,0.574,0.574,0.548,0.206
hilbert,0.591,0.599,0.476,0.582,1.0,0.718,0.5,0.45,0.599,0.463,0.589,0.637,0.605,0.605,0.627,0.22
zorder,0.603,0.607,0.49,0.506,0.718,1.0,0.503,0.454,0.606,0.475,0.596,0.648,0.615,0.615,0.646,0.221
hybrid,0.68,0.68,0.564,0.47,0.5,0.503,1.0,0.517,0.702,0.538,0.677,0.732,0.708,0.713,0.617,0.249
kdtree,0.61,0.618,0.527,0.431,0.45,0.454,0.517,1.0,0.629,0.477,0.615,0.662,0.629,0.629,0.556,0.2
pq,0.848,0.86,0.722,0.577,0.599,0.606,0.702,0.629,1.0,0.671,0.872,0.939,0.879,0.878,0.787,0.298
lsh,0.66,0.669,0.537,0.441,0.463,0.475,0.538,0.477,0.671,1.0,0.709,0.732,0.688,0.688,0.609,0.233
spectral,0.839,0.85,0.705,0.556,0.589,0.596,0.677,0.615,0.872,0.709,1.0,0.939,0.877,0.877,0.783,0.299
birch,0.898,0.91,0.759,0.604,0.637,0.648,0.732,0.662,0.939,0.732,0.939,1.0,0.936,0.936,0.835,0.335
gmm,0.845,0.858,0.714,0.574,0.605,0.615,0.708,0.629,0.879,0.688,0.877,0.936,1.0,0.9,0.78,0.318
hdbscan,0.845,0.859,0.714,0.574,0.605,0.615,0.713,0.629,0.878,0.688,0.877,0.936,0.9,1.0,0.78,0.318
sobol,0.757,0.77,0.613,0.548,0.627,0.646,0.617,0.556,0.787,0.609,0.783,0.835,0.78,0.78,1.0,0.258
sparse_rp,0.307,0.307,0.234,0.206,0.22,0.221,0.249,0.2,0.298,0.233,0.299,0.335,0.318,0.318,0.258,1.0
