method,N,n_train,elapsed_s,ops_per_row_us
KM20 (full-batch),10000,10000,0.5248901844024658,52.48901844024658
MiniBatch (1% sample),10000,1000,0.024682044982910156,2.4682044982910156
MiniBatch partial_fit,10000,1000,0.007119894027709961,0.7119894027709961
Hilbert (1% sample),10000,1000,0.005552768707275391,0.5552768707275391
KM20 (full-batch),100000,100000,6.577898979187012,65.77898979187012
MiniBatch (1% sample),100000,1000,0.0320439338684082,0.32043933868408203
MiniBatch partial_fit,100000,1000,0.008822917938232422,0.08822917938232422
Hilbert (1% sample),100000,1000,0.005227088928222656,0.05227088928222656
KM20 (full-batch),1000000,1000000,69.74938988685608,69.74938988685608
MiniBatch (1% sample),1000000,10000,0.05393409729003906,0.05393409729003906
MiniBatch partial_fit,1000000,10000,0.025699138641357422,0.025699138641357422
Hilbert (1% sample),1000000,10000,0.03056812286376953,0.030568122863769528
