dataset,selectivity,query_id,mode,q_error,bern_q,method_minus_bern,rank
DEEP,0.01,0,birch,1.757953313485188,1.7640868821101379,-0.006133568624949959,11.0
DEEP,0.01,0,distance_shell,1.205125541125541,1.7640868821101379,-0.5589613409845968,1.0
DEEP,0.01,0,gmm,1.8921008714287386,1.7640868821101379,0.12801398931860075,13.0
DEEP,0.01,0,hdbscan,1.3254359497338362,1.7640868821101379,-0.4386509323763017,2.0
DEEP,0.01,0,hilbert,1.59597708097448,1.7640868821101379,-0.16810980113565788,9.0
DEEP,0.01,0,hybrid,2.3078842279085827,1.7640868821101379,0.5437973457984449,19.0
DEEP,0.01,0,is_p200_clip,2.3008076642010664,1.7640868821101379,0.5367207820909285,18.0
DEEP,0.01,0,is_p200_noclip,3.542057759052998,1.7640868821101379,1.7779708769428602,21.0
DEEP,0.01,0,kde_pilot,6.044875487970964,1.7640868821101379,4.280788605860827,22.0
DEEP,0.01,0,kdtree,1.5744129946901382,1.7640868821101379,-0.1896738874199997,8.0
DEEP,0.01,0,km20,1.6005652631578946,1.7640868821101379,-0.16352161895224326,10.0
DEEP,0.01,0,lsh,1.5357307030045966,1.7640868821101379,-0.2283561791055413,7.0
DEEP,0.01,0,minibatch,1.7914427653092289,1.7640868821101379,0.02735588319909099,12.0
DEEP,0.01,0,minibatch_partial,1.9068690791093696,1.7640868821101379,0.14278219699923178,14.0
DEEP,0.01,0,pca1d,1.4397790022341364,1.7640868821101379,-0.3243078798760015,4.0
DEEP,0.01,0,pq,2.213292321653708,1.7640868821101379,0.4492054395435703,17.0
DEEP,0.01,0,random20,2.505215077945272,1.7640868821101379,0.7411281958351343,20.0
DEEP,0.01,0,random_proj,2.115028299156018,1.7640868821101379,0.35094141704588,16.0
DEEP,0.01,0,sobol,1.454608019681825,1.7640868821101379,-0.3094788624283129,5.0
DEEP,0.01,0,sparse_rp,1.9097072921029365,1.7640868821101379,0.14562040999279868,15.0
DEEP,0.01,0,spectral,1.3959428211563534,1.7640868821101379,-0.3681440609537845,3.0
DEEP,0.01,0,zorder,1.4582541544685388,1.7640868821101379,-0.3058327276415991,6.0
DEEP,0.01,1,birch,1.5125061462260982,1.7173495155638012,-0.20484336933770297,7.0
DEEP,0.01,1,distance_shell,2.640866168296724,1.7173495155638012,0.9235166527329228,18.0
DEEP,0.01,1,gmm,1.9097995875438503,1.7173495155638012,0.19245007198004904,13.0
DEEP,0.01,1,hdbscan,2.1304025777178324,1.7173495155638012,0.41305306215403115,15.0
DEEP,0.01,1,hilbert,1.8273177997914019,1.7173495155638012,0.10996828422760063,12.0
DEEP,0.01,1,hybrid,2.3506760975824745,1.7173495155638012,0.6333265820186733,17.0
DEEP,0.01,1,is_p200_clip,3.1509549527554768,1.7173495155638012,1.4336054371916755,20.0
DEEP,0.01,1,is_p200_noclip,6.298264168404244,1.7173495155638012,4.580914652840443,22.0
DEEP,0.01,1,kde_pilot,1.4454591614067347,1.7173495155638012,-0.2718903541570665,4.0
DEEP,0.01,1,kdtree,1.5306244961401636,1.7173495155638012,-0.18672501942363762,8.0
DEEP,0.01,1,km20,1.5081302599801139,1.7173495155638012,-0.20921925558368737,6.0
DEEP,0.01,1,lsh,2.349394152124051,1.7173495155638012,0.6320446365602497,16.0
DEEP,0.01,1,minibatch,1.330571448326217,1.7173495155638012,-0.38677806723758423,3.0
DEEP,0.01,1,minibatch_partial,2.0624541973062667,1.7173495155638012,0.34510468174246545,14.0
DEEP,0.01,1,pca1d,1.6373047390817024,1.7173495155638012,-0.08004477648209884,10.0
DEEP,0.01,1,pq,1.4526497441828037,1.7173495155638012,-0.26469977138099754,5.0
DEEP,0.01,1,random20,1.667258842105263,1.7173495155638012,-0.05009067345853824,11.0
DEEP,0.01,1,random_proj,1.2660682863451833,1.7173495155638012,-0.4512812292186179,1.0
DEEP,0.01,1,sobol,3.1289379136880258,1.7173495155638012,1.4115883981242245,19.0
DEEP,0.01,1,sparse_rp,1.5615789473684212,1.7173495155638012,-0.15577056819538004,9.0
DEEP,0.01,1,spectral,4.304959274473467,1.7173495155638012,2.5876097589096663,21.0
DEEP,0.01,1,zorder,1.2783657039760423,1.7173495155638012,-0.4389838115877589,2.0
DEEP,0.01,2,birch,2.8529279652012813,1.5733333333333333,1.279594631867948,21.0
DEEP,0.01,2,distance_shell,2.441406926406926,1.5733333333333333,0.8680735930735928,19.0
DEEP,0.01,2,gmm,1.2956875089657862,1.5733333333333333,-0.27764582436754703,2.0
DEEP,0.01,2,hdbscan,1.347510335427196,1.5733333333333333,-0.22582299790613725,6.0
DEEP,0.01,2,hilbert,1.5883494108595972,1.5733333333333333,0.015016077526263993,11.0
DEEP,0.01,2,hybrid,1.395169884907069,1.5733333333333333,-0.1781634484262642,8.0
