method,dataset,sel,n_pairs,deff,ess,var_method,var_bern,icc
minibatch,DEEP,0.01,4327,0.8085748325671105,476.146405370644,0.4889559057405585,0.604713238709388,0.015449391210615847
minibatch,DEEP,0.05,4500,0.3623086103565216,1062.6300038002116,0.026361457445143167,0.07275967694834183,0.08249858455646872
minibatch,DEEP,0.1,4500,0.37038932167652155,1039.4468130380892,0.009203993460679648,0.02484951083097889,0.05614389999738354
minibatch,DEEP,0.3,4500,0.33834867571643135,1137.879435126464,0.001975954038211486,0.005839993415158288,0.035780242163837836
minibatch,DEEP,0.5,4500,0.34253461032743177,1123.9740113618743,0.0008062003684304383,0.0023536318495225475,0.07522734309428653
minibatch,SIFT,0.01,4111,0.9064875863332732,424.71624080073553,0.6240116968367678,0.6883841612888318,0.007661577723738482
minibatch,SIFT,0.05,4500,0.33812994269571883,1138.6155184323893,0.046571117484149965,0.1377314209823146,0.02037702007135526
minibatch,SIFT,0.1,4500,0.18996539106502103,2026.6849547780146,0.012217349031126534,0.0643135518666387,0.007684799703250545
minibatch,SIFT,0.3,4500,0.058911416861839,6535.235791441152,0.0012690276004998903,0.02154128466263264,0.0
minibatch,SIFT,0.5,4500,0.050902423450208935,7563.490574797372,0.0004975178998792026,0.009773953107868393,0.0688234695718355
random_proj,DEEP,0.01,4224,3.3598643948910376,114.58795795015584,2.0139590190635754,0.599416756856608,0.012367803012716774
random_proj,DEEP,0.05,4500,1.1568442902792264,332.80191918228934,0.08417161684025029,0.07275967694834183,0.0
random_proj,DEEP,0.1,4500,1.038914429153735,370.57912489829226,0.02581651535971599,0.02484951083097889,0.0
random_proj,DEEP,0.3,4500,0.703820077833592,547.014801261506,0.004110304620004371,0.005839993415158288,0.0
random_proj,DEEP,0.5,4500,0.7414352957897873,519.2631132968826,0.001745065726531014,0.0023536318495225475,0.0
random_proj,SIFT,0.01,4053,16.315683124937784,23.596928001840443,11.283305375365577,0.6915619339357942,0.0480056798614587
random_proj,SIFT,0.05,4500,1.2712897208856828,302.84206162838944,0.1750965397377952,0.1377314209823146,0.019828094906627874
random_proj,SIFT,0.1,4500,0.5900608196395626,652.4751130488149,0.037948907128360354,0.0643135518666387,0.010690049733813985
random_proj,SIFT,0.3,4500,0.2548638210844175,1510.6106404662198,0.005490094120185712,0.02154128466263264,0.0
random_proj,SIFT,0.5,4500,0.1952515650060417,1971.8151810362538,0.001908379640606969,0.009773953107868393,0.0
hilbert,DEEP,0.01,4313,0.7426458754863103,518.416667631647,0.44873011858872197,0.6042316175187507,0.014550137378996748
hilbert,DEEP,0.05,4500,0.30357862417660253,1268.2052336334186,0.022088282623511677,0.07275967694834183,0.016319553904529972
hilbert,DEEP,0.1,4500,0.3693651500883292,1042.328979623367,0.009178543297706081,0.02484951083097889,0.01180705081373373
