dataset,mode_treat,mode_ctrl,sel,n_pairs,delta_pct,w_stat,p_raw,p_BH,reject_005
DEEP,minibatch,bernoulli,0.01,486,5.461003421052641,54365.0,0.060410805824145736,0.14498593397794976,False
DEEP,random_proj,bernoulli,0.01,474,17.186350657894746,70115.0,0.9999982089096009,0.9999999999208994,False
DEEP,hilbert,bernoulli,0.01,484,3.288520162475048,58400.0,0.46312048796573024,0.7939208365126804,False
DEEP,lsh,bernoulli,0.01,475,13.640909484588379,62153.0,0.9699640642965521,0.9999999999208994,False
DEEP,km20,bernoulli,0.01,479,3.6067617044480755,53199.0,0.07891815876169461,0.1753736861370991,False
DEEP,random20,bernoulli,0.01,481,0.839803255547226,58267.0,0.5400227141465785,0.9000378569109642,False
DEEP,minibatch,bernoulli,0.05,500,-3.8181167703161587,54737.0,0.007336575752661348,0.025893796774098875,True
DEEP,random_proj,bernoulli,0.05,500,-0.36232574601176876,72422.0,0.9987810452467657,0.9999999999208994,False
DEEP,hilbert,bernoulli,0.05,500,-5.194538501144185,51666.0,0.0003489068027842542,0.0017445340139212709,True
DEEP,lsh,bernoulli,0.05,500,-0.10079375476783395,71157.0,0.9958496132295837,0.9999999999208994,False
DEEP,km20,bernoulli,0.05,500,-3.878548612809405,55773.0,0.017009978612949696,0.046390850762590086,True
DEEP,random20,bernoulli,0.05,500,-4.091668329744171,58718.0,0.11338392338948006,0.23657683051163783,False
DEEP,minibatch,bernoulli,0.1,500,-1.9190089932460161,51537.0,0.0003014059586513831,0.0016440325017348168,True
DEEP,random_proj,bernoulli,0.1,500,0.5967185846162013,69822.0,0.9870119641917003,0.9999999999208994,False
DEEP,hilbert,bernoulli,0.1,500,-1.6448264638967318,55065.0,0.009671021446604401,0.032236738155348006,True
DEEP,lsh,bernoulli,0.1,500,1.4498252749137523,71448.0,0.9968295593824041,0.9999999999208994,False
DEEP,km20,bernoulli,0.1,500,-1.300390741209439,55659.0,0.015576857291264788,0.04450530654647082,True
DEEP,random20,bernoulli,0.1,500,-0.36419007037944423,59190.0,0.14395857872893025,0.2879171574578605,False
DEEP,minibatch,bernoulli,0.3,500,-0.8133644400661624,50967.0,0.00015506413496513746,0.001033760899767583,True
DEEP,random_proj,bernoulli,0.3,500,0.9528987478219536,69830.0,0.9870945217233513,0.9999999999208994,False
DEEP,hilbert,bernoulli,0.3,500,-0.2934461821723025,56705.0,0.03351313084003929,0.08742555871314597,False
DEEP,lsh,bernoulli,0.3,500,0.6758567433161982,69434.0,0.9824209147370643,0.9999999999208994,False
DEEP,km20,bernoulli,0.3,500,-0.10554469507101638,54620.0,0.006633063089081535,0.025893796774098875,True
DEEP,random20,bernoulli,0.3,500,0.2443708521723741,60552.0,0.2606529694790297,0.4887243177731807,False
DEEP,minibatch,bernoulli,0.5,500,-0.42881776585253034,54673.0,0.00694400260570668,0.025893796774098875,True
DEEP,random_proj,bernoulli,0.5,500,0.8047989875884041,72613.0,0.9989993319044602,0.9999999999208994,False
DEEP,hilbert,bernoulli,0.5,500,-0.49030909849843995,53685.0,0.002839086282030737,0.012167512637274587,True
DEEP,lsh,bernoulli,0.5,500,0.3374337991233669,69021.0,0.9760784956719486,0.9999999999208994,False
DEEP,km20,bernoulli,0.5,500,-0.5353630611567316,51120.0,0.00018588316118193086,0.001115298967091585,True
DEEP,random20,bernoulli,0.5,500,0.0363730953025873,61337.0,0.3451402102641019,0.6275276550256398,False
SIFT,minibatch,bernoulli,0.01,466,4.794316992228785,50019.0,0.06576371420805213,0.15176241740319724,False
SIFT,random_proj,bernoulli,0.01,459,26.31374491228069,69258.0,0.9999999965517529,0.9999999999208994,False
SIFT,hilbert,bernoulli,0.01,480,1.7973153838315763,54060.0,0.11434546808062496,0.23657683051163783,False
SIFT,lsh,bernoulli,0.01,468,12.787062560134341,62213.0,0.9939187528556653,0.9999999999208994,False
SIFT,km20,bernoulli,0.01,474,8.71582719298246,53891.0,0.210934627663865,0.4082605696719968,False
SIFT,random20,bernoulli,0.01,476,0.47555736842105256,56147.0,0.4187264059453362,0.7389289516682404,False
SIFT,minibatch,bernoulli,0.05,500,-1.6238263839702474,56820.0,0.036253635651173496,0.09063408912793375,False
SIFT,random_proj,bernoulli,0.05,500,3.7353009609700227,77013.0,0.9999957320496482,0.9999999999208994,False
SIFT,hilbert,bernoulli,0.05,500,-1.5251997486718212,55356.0,0.012261202222394978,0.038719585965457826,True
SIFT,lsh,bernoulli,0.05,500,4.787707968220396,77301.0,0.9999971923838112,0.9999999999208994,False
SIFT,km20,bernoulli,0.05,500,-1.4599029239766115,55506.0,0.01381718878386596,0.04145156635159788,True
SIFT,random20,bernoulli,0.05,500,2.2328729824561684,65711.0,0.830142911240388,0.9999999999208994,False
SIFT,minibatch,bernoulli,0.1,500,-2.0396798262855973,52524.0,0.0008890456012835484,0.004103287390539454,True
SIFT,random_proj,bernoulli,0.1,500,3.5030646368829292,81921.0,0.9999999988114988,0.9999999999208994,False
SIFT,hilbert,bernoulli,0.1,500,-2.402112703826316,49186.0,1.6074385642190188e-05,0.0001205578923164264,True
SIFT,lsh,bernoulli,0.1,500,2.1418862199102553,75486.0,0.9999653778133155,0.9999999999208994,False
SIFT,km20,bernoulli,0.1,500,-2.4720572044080678,46806.0,4.940404734401462e-07,4.2346326294869675e-06,True
SIFT,random20,bernoulli,0.1,500,-0.4582256527947723,63566.0,0.6145208168671406,0.9965202435683361,False
SIFT,minibatch,bernoulli,0.3,500,-1.5892140746333008,41658.0,4.388057126696543e-11,8.776114253393085e-10,True
SIFT,random_proj,bernoulli,0.3,500,1.799134994247927,83303.0,0.9999999999208994,0.9999999999208994,False
SIFT,hilbert,bernoulli,0.3,500,-1.5082696793212464,44116.0,5.134794026467496e-09,6.161752831760994e-08,True
SIFT,lsh,bernoulli,0.3,500,0.4787914088980584,72133.0,0.9983670456852604,0.9999999999208994,False
SIFT,km20,bernoulli,0.3,500,-1.614622030438904,43804.0,2.8945258364749463e-09,4.3417887547124196e-08,True
SIFT,random20,bernoulli,0.3,500,0.08109159626218615,65454.0,0.8092731298154147,0.9999999999208994,False
SIFT,minibatch,bernoulli,0.5,500,-1.0409618709731832,41422.0,2.69633863482471e-11,8.08901590447413e-10,True
