dataset,mode_treat,mode_ctrl,sel,n_pairs,delta_pct,w_stat,p_raw,p_BH,reject_005
DEEP,minibatch,random20,0.01,483,4.517789360221606,54453.0,0.09678731132522378,0.2580994968672634,False
DEEP,random_proj,random20,0.01,472,16.531005447851012,68883.0,0.9999947808139455,0.9999999939958762,False
DEEP,hilbert,random20,0.01,481,2.341748400276994,54876.0,0.15593577159273436,0.3118715431854687,False
DEEP,lsh,random20,0.01,470,12.968521052247523,63633.0,0.9975539358664484,0.9999999939958762,False
DEEP,minibatch,random20,0.05,500,0.28522189330590647,59213.0,0.14557863443886454,0.3118715431854687,False
DEEP,random_proj,random20,0.05,500,3.8884448501870748,75515.0,0.9999666610796516,0.9999999939958762,False
DEEP,hilbert,random20,0.05,500,-1.149921130097239,55421.0,0.012915773087688388,0.042246451940493035,True
DEEP,lsh,random20,0.05,500,4.161134393096769,75339.0,0.9999581217768363,0.9999999939958762,False
DEEP,minibatch,random20,0.1,500,-1.560502116623375,54231.0,0.004703591769260592,0.020232427649048777,True
DEEP,random_proj,random20,0.1,500,0.9644209804430753,73156.0,0.9994390461626113,0.9999999939958762,False
DEEP,hilbert,random20,0.1,500,-1.2853173918311966,59188.0,0.14381828123220985,0.3118715431854687,False
DEEP,lsh,random20,0.1,500,1.8206459570856672,77169.0,0.9999965950440575,0.9999999939958762,False
DEEP,minibatch,random20,0.3,500,-1.0551567965829722,52030.0,0.0005230523332266935,0.0026152616661334676,True
DEEP,random_proj,random20,0.3,500,0.7068006808027417,71222.0,0.9960894142192164,0.9999999939958762,False
DEEP,hilbert,random20,0.3,500,-0.5365059701335056,57867.0,0.07050982339622572,0.2014566382749306,False
DEEP,lsh,random20,0.3,500,0.4304340358224449,71466.0,0.9968827030133606,0.9999999939958762,False
DEEP,minibatch,random20,0.5,500,-0.46502171836232,55498.0,0.013730096880660236,0.042246451940493035,True
DEEP,random_proj,random20,0.5,500,0.7681464936296255,76378.0,0.9999895395807235,0.9999999939958762,False
DEEP,hilbert,random20,0.5,500,-0.5264906928395614,55496.0,0.013708398044349151,0.042246451940493035,True
DEEP,lsh,random20,0.5,500,0.30095123853997113,70543.0,0.9928498150207902,0.9999999939958762,False
SIFT,minibatch,random20,0.01,464,4.727917572409943,50551.0,0.12045972259876342,0.3011493064969085,False
SIFT,random_proj,random20,0.01,461,25.556236577845485,67159.0,0.9999994174830584,0.9999999939958762,False
SIFT,hilbert,random20,0.01,479,1.2514796599136837,54322.0,0.14873234281729086,0.3118715431854687,False
SIFT,lsh,random20,0.01,468,14.277100904283088,62729.0,0.9963589748391816,0.9999999939958762,False
SIFT,minibatch,random20,0.05,500,-3.772465014348419,54312.0,0.005058106912262194,0.020232427649048777,True
SIFT,random_proj,random20,0.05,500,1.4696133784401038,74433.0,0.9998704512458677,0.9999999939958762,False
SIFT,hilbert,random20,0.05,500,-3.675992488025744,51404.0,0.00025878652437517604,0.001725243495834507,True
SIFT,lsh,random20,0.05,500,2.4990347147953607,73678.0,0.9996863390252756,0.9999999939958762,False
SIFT,minibatch,random20,0.1,500,-1.5887341609711085,51691.0,0.00035888188026005514,0.002050753601486029,True
SIFT,random_proj,random20,0.1,500,3.9795254963615383,77181.0,0.999996654011273,0.9999999939958762,False
SIFT,hilbert,random20,0.1,500,-1.9528354439927877,48383.0,5.26208717672488e-06,4.209669741379904e-05,True
SIFT,lsh,random20,0.1,500,2.6120810983695604,73714.0,0.9996989375464957,0.9999999939958762,False
SIFT,minibatch,random20,0.3,500,-1.668952290841989,40725.0,6.2072164700666264e-12,8.276288626755503e-11,True
SIFT,random_proj,random20,0.3,500,1.7166513380134898,81048.0,0.9999999939958762,0.9999999939958762,False
SIFT,hilbert,random20,0.3,500,-1.5880734814475101,43824.0,3.0036806738340855e-09,3.0036806738340856e-08,True
SIFT,lsh,random20,0.3,500,0.3973775728188855,69546.0,0.9838703145039716,0.9999999939958762,False
SIFT,minibatch,random20,0.5,500,-1.2666898141233085,38016.0,1.3348830911794285e-14,2.669766182358857e-13,True
SIFT,random_proj,random20,0.5,500,1.0456453612683652,78600.0,0.9999996138892012,0.9999999939958762,False
SIFT,hilbert,random20,0.5,500,-1.2547846009235313,36603.0,4.121240885329313e-16,1.648496354131725e-14,True
SIFT,lsh,random20,0.5,500,0.3875565370143703,70102.0,0.9896440182745065,0.9999999939958762,False
