cell,anchor,variant,n_pairs,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:chao_weighted,15,9.260801132768393,1046.807202976197,1043.890916975215,59.0,0.97796630859375,1.0,160
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:cum_sqrtf,15,-7.567371008917689,1046.807202976197,1056.8064410472289,35.0,0.1688232421875,1.0,58
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:hilbert_real,15,-8.658108999952674,1046.807202976197,1039.1740310005844,44.0,0.389404296875,1.0,80
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:hyperloglog,15,3.3803440164774656,1046.807202976197,1047.5559729384258,52.0,0.67877197265625,1.0,123
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:ica_fastica,15,10.88732189964503,1046.807202976197,1047.7818120270967,56.0,0.846923828125,1.0,144
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:lavallee_hidiroglou,15,5.101411021314561,1046.807202976197,1031.0803590109572,36.0,0.1876220703125,1.0,60
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:mhist2,15,-8.073600009083748,1046.807202976197,1059.646576992236,38.0,0.22930908203125,1.0,65
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:pca1d,15,-10.442550061270595,1046.807202976197,1050.5186839727685,46.0,0.45428466796875,1.0,85
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:rabitq_strat,15,10.705142049118876,1046.807202976197,1038.999966927804,30.0,0.0946044921875,1.0,43
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:rsvd,15,-7.009224849753082,1046.807202976197,1046.6102509526536,49.0,0.5614013671875,1.0,102
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:skilling_hilbert,15,5.771542084403336,1046.807202976197,1045.7958079641685,57.0,0.890380859375,1.0,147
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:sparse_rp,15,10.015019099228084,1046.807202976197,1041.5523309493437,60.0,1.0,1.0,168
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,CaseB:zorder_morton,15,0.6262570386752486,1046.807202976197,1044.312330079265,57.0,0.890380859375,1.0,148
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,oracle,15,1.9168149447068572,1046.807202976197,1045.3217569738626,49.0,0.5614013671875,1.0,101
tpc_h/q10 DEEP sf10 sel0.001 qid0,baseline,B1,15,5709.884446929209,6629.114161944017,1046.807202976197,0.0,6.103515625e-05,0.010986328125,1
