dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table_pair,D_deep_target,D_wiki_target
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1458649,81843,53432.28200371057,1.5317144791666668,385,385,partsupp_deep_10__part_wiki_10,1.1585617065429688,2.7521116733551025
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3590985,79766,87866.41929499073,1.1015522816110965,385,385,partsupp_deep_10__part_wiki_10,1.2515356540679932,2.681626081466675
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2861019,79955,75560.80283353012,1.0581544531249998,385,385,partsupp_deep_10__part_wiki_10,1.2202587127685547,2.5906567573547363
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7811320,78388,84412.2111654579,1.076851191068249,385,385,partsupp_deep_10__part_wiki_10,1.1162461042404175,2.4001996517181396
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1427886,78728,51381.34592680047,1.5322292279411764,385,385,partsupp_deep_10__part_wiki_10,1.2062091827392578,3.04740571975708
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,4288339,79196,77072.0188902007,1.0275583946078433,385,385,partsupp_deep_10__part_wiki_10,1.1372402906417847,2.728555679321289
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3227404,79716,65629.9544611233,1.2146282997532893,385,385,partsupp_deep_10__part_wiki_10,1.2433892488479614,2.4409737586975098
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5886013,81577,70811.26665542249,1.1520341868330795,385,385,partsupp_deep_10__part_wiki_10,1.243363618850708,2.386617422103882
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2636413,76504,69461.96660482374,1.101379700854701,385,385,partsupp_deep_10__part_wiki_10,1.0980408191680908,2.9915456771850586
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6936640,82752,47927.13779726767,1.7266209459459458,385,385,partsupp_deep_10__part_wiki_10,1.329702615737915,3.214108943939209
