dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,145860,7929,8819.025130713442,1.1122493543591174,385,385,partsupp_deep_sift_1,1.3125383853912354,493.20147705078125
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,359095,8281,7966.267498735032,1.0395081512533875,385,385,partsupp_deep_sift_1,1.258963704109192,587.4684448242188
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,286093,8145,7771.968291448811,1.0479970703125,385,385,partsupp_deep_sift_1,1.1250864267349243,602.8929443359375
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,781121,8191,7771.968291448812,1.053915776909722,385,385,partsupp_deep_sift_1,1.178353190422058,514.0215454101562
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,142780,7694,6195.985832349468,1.2417717225609757,385,385,partsupp_deep_sift_1,1.2204875946044922,473.2214050292969
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,428790,8110,4684.769775678866,1.7311416330645164,385,385,partsupp_deep_sift_1,1.208726167678833,537.9324340820312
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,322723,8076,4760.330578512397,1.6965208333333333,385,385,partsupp_deep_sift_1,1.201585054397583,459.1468200683594
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,588557,8090,6239.163433968629,1.2966481942041523,385,385,partsupp_deep_sift_1,1.3140754699707031,591.347412109375
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,263638,7982,5332.4337999662675,1.4968774671052631,385,385,partsupp_deep_sift_1,1.2552679777145386,475.7867126464844
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,693614,8281,9067.296340023613,1.0949518584740505,385,385,partsupp_deep_sift_1,1.2929290533065796,562.9500732421875
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,546912,7983,5343.228200371057,1.4940406250000002,385,385,partsupp_deep_sift_1,1.2068768739700317,570.2767333984375
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,444449,8106,5947.714623039298,1.362876417876588,385,385,partsupp_deep_sift_1,1.3171755075454712,530.9553833007812
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,663176,7928,7793.557092258392,1.0172505193905816,385,385,partsupp_deep_sift_1,1.187335729598999,454.77838134765625
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,763999,8105,5343.228200371057,1.516873263888889,385,385,partsupp_deep_sift_1,1.129727840423584,494.7989501953125
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,782168,7835,8014.842300556586,1.0229537077927997,385,385,partsupp_deep_sift_1,1.2275972366333008,472.7889709472656
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,673362,8108,5990.892224658458,1.3533877252252253,385,385,partsupp_deep_sift_1,1.3074264526367188,524.2796020507812
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,83904,7689,6730.308652386574,1.1424438903368084,385,385,partsupp_deep_sift_1,1.286946177482605,474.34765625
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,695261,7947,6525.215044695565,1.217890896401985,385,385,partsupp_deep_sift_1,1.3076568841934204,515.737060546875
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,386245,8272,6357.901838421319,1.3010581494057725,385,385,partsupp_deep_sift_1,1.115124225616455,556.582763671875
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,69504,8155,10211.502782931353,1.2521769200406319,385,385,partsupp_deep_sift_1,1.3274890184402466,518.8878784179688
