dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1458649,82715,76586.27087198515,1.0800238614341087,385,385,partsupp_deep_wiki_10,1.1585617065429688,2.7184441089630127
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3590985,79084,90241.18738404453,1.141080210713223,385,385,partsupp_deep_wiki_10,1.2515356540679932,3.0231802463531494
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,2861019,79384,83116.88311688312,1.0470231169616437,385,385,partsupp_deep_wiki_10,1.2202587127685547,3.0251450538635254
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7811320,80561,67896.77854612921,1.1865216837241652,385,385,partsupp_deep_wiki_10,1.1162461042404175,3.0742101669311523
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1427886,79151,45336.481700118056,1.7458566927083337,385,385,partsupp_deep_wiki_10,1.2062091827392578,2.258613109588623
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,4288339,77489,78907.066959015,1.0183002356336384,385,385,partsupp_deep_wiki_10,1.1372402906417847,2.8810176849365234
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3227404,79553,88190.25130713443,1.1085722890039902,385,385,partsupp_deep_wiki_10,1.2433892488479614,2.7680041790008545
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5886013,82408,73024.11873840445,1.128503861788618,385,385,partsupp_deep_wiki_10,1.243363618850708,2.8677988052368164
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,2636413,78759,80148.42300556587,1.0176414505715647,385,385,partsupp_deep_wiki_10,1.0980408191680908,2.893977165222168
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6936640,81261,54403.778040141675,1.4936646484375,385,385,partsupp_deep_wiki_10,1.329702615737915,2.507002115249634
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5469472,80106,112855.4562320796,1.4088265077781887,385,385,partsupp_deep_wiki_10,1.141785740852356,3.1559786796569824
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,4444886,79687,81227.86304604486,1.0193364419045121,385,385,partsupp_deep_wiki_10,1.1260658502578735,3.1018006801605225
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6631898,78341,97149.60364311014,1.2400863359302299,385,385,partsupp_deep_wiki_10,1.2197622060775757,2.7592804431915283
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7640583,79077,94990.72356215214,1.2012433901406494,385,385,partsupp_deep_wiki_10,1.2964671850204468,2.6787314414978027
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7822107,79384,87272.72727272726,1.0993742728097258,385,385,partsupp_deep_wiki_10,1.2597941160202026,2.7638301849365234
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6733700,81438,120681.39652555237,1.4818806518523584,385,385,partsupp_deep_wiki_10,1.1525179147720337,3.2069685459136963
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,839131,79385,53324.33799966267,1.4887198412196359,385,385,partsupp_deep_wiki_10,1.1870739459991455,2.5813450813293457
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6952719,78971,74265.47478495531,1.063360871638808,385,385,partsupp_deep_wiki_10,1.2008575201034546,2.641003370285034
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3862714,79869,58721.53820205769,1.3601312643612131,385,385,partsupp_deep_wiki_10,1.1932599544525146,2.9998741149902344
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,695062,81003,63579.01838421319,1.274052384868421,385,385,partsupp_deep_wiki_10,1.1563990116119385,3.157975435256958
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6815544,79804,83116.88311688312,1.0415127451867465,385,385,partsupp_deep_wiki_10,1.2705234289169312,3.005286931991577
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6963267,80843,106756.62000337325,1.3205425330996283,385,385,partsupp_deep_wiki_10,1.2207585573196411,2.8787217140197754
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3402371,81129,77719.68291448812,1.0438668424479165,385,385,partsupp_deep_wiki_10,1.2719320058822632,2.8398821353912354
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6909999,80866,88406.13931523022,1.09324239254112,385,385,partsupp_deep_wiki_10,1.2934293746948242,2.6966755390167236
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6366790,82474,86894.92325855962,1.0536038419206006,385,385,partsupp_deep_wiki_10,1.275483250617981,3.16326642036438
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,481095,80410,53432.28200371057,1.5048954861111112,385,385,partsupp_deep_wiki_10,1.2758615016937256,2.7351417541503906
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3528014,76771,73563.83875864395,1.0435969804658842,385,385,partsupp_deep_wiki_10,1.192535400390625,3.1224870681762695
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5369867,77621,69731.82661494351,1.1131359060565014,385,385,partsupp_deep_wiki_10,1.248127818107605,2.802806854248047
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7520880,79518,53540.22600775848,1.4852010521673387,385,385,partsupp_deep_wiki_10,1.2978402376174927,2.8685460090637207
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6025740,80289,81227.86304604486,1.011693545143729,385,385,partsupp_deep_wiki_10,1.1894699335098267,3.341740131378174
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3454116,81164,91860.34744476303,1.1317868444724635,385,385,partsupp_deep_wiki_10,1.2314070463180542,2.8160572052001953
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6288378,79964,94720.86355203237,1.1845438391280123,385,385,partsupp_deep_wiki_10,1.2452954053878784,2.823155403137207
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1370862,81658,116579.52437173216,1.4276558864009914,385,385,partsupp_deep_wiki_10,1.2117983102798462,2.676485300064087
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,2964065,80358,87434.64327879914,1.0880639547873159,385,385,partsupp_deep_wiki_10,1.2284141778945923,2.813986301422119
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7031696,79657,79338.84297520661,1.0040101041666667,385,385,partsupp_deep_wiki_10,1.2324044704437256,2.8090691566467285
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,4389879,78749,63147.242368021594,1.2470695005341879,385,385,partsupp_deep_wiki_10,1.2300347089767456,2.8626089096069336
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,332506,78918,94343.05953786473,1.1954567974082557,385,385,partsupp_deep_wiki_10,1.2145559787750244,2.9190993309020996
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7799146,78597,61528.08230730309,1.2774167023026315,385,385,partsupp_deep_wiki_10,1.2312073707580566,2.8348586559295654
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3041529,80344,121652.89256198346,1.5141503106888312,385,385,partsupp_deep_wiki_10,1.1483227014541626,2.8063817024230957
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,737452,77924,86247.25923427222,1.1068125254641987,385,385,partsupp_deep_wiki_10,1.2798588275909424,2.941227912902832
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5167757,82479,99578.34373418787,1.207317544274153,385,385,partsupp_deep_wiki_10,1.252101182937622,2.528045415878296
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1813464,80386,86139.31523022433,1.0715711097731486,385,385,partsupp_deep_wiki_10,1.2436870336532593,2.9882819652557373
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6207689,79053,75236.9708213864,1.0507201331599714,385,385,partsupp_deep_wiki_10,1.1708049774169922,3.2533798217773438
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7385883,81790,57426.210153482876,1.424262541118421,385,385,partsupp_deep_wiki_10,1.1777342557907104,2.8442304134368896
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1110231,80590,102007.08382526562,1.2657536149058894,385,385,partsupp_deep_wiki_10,1.2301665544509888,2.6630189418792725
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,4260736,80607,88514.08331927813,1.0980942513587917,385,385,partsupp_deep_wiki_10,1.2347526550292969,2.866549253463745
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7241835,80795,93263.61949738573,1.1543241475015253,385,385,partsupp_deep_wiki_10,1.2067705392837524,2.7865002155303955
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5886526,80084,85491.65120593693,1.0675247390981586,385,385,partsupp_deep_wiki_10,1.0852018594741821,2.7089152336120605
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7903428,80183,102115.02782931353,1.2735246602061976,385,385,partsupp_deep_wiki_10,1.1325520277023315,2.885277509689331
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,2010126,79736,97473.43565525384,1.2224520374141397,385,385,partsupp_deep_wiki_10,1.1659375429153442,3.0145533084869385
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,64433,81295,89713.61179093183,1.103556329306007,383,383,partsupp_deep_wiki_10,1.2458291053771973,3.123819589614868
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6427842,81130,59390.95637709713,1.3660328937098254,383,383,partsupp_deep_wiki_10,1.127610683441162,2.7362329959869385
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1934109,80147,98166.87004478864,1.224835240804879,383,383,partsupp_deep_wiki_10,1.1786408424377441,2.6632134914398193
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,2037726,80272,59554.56782717177,1.3478731007326008,383,383,partsupp_deep_wiki_10,1.253166913986206,2.3386483192443848
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,944719,78866,76570.15863493513,1.0299835001780628,383,383,partsupp_deep_wiki_10,1.0694438219070435,2.6013431549072266
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5909334,77341,52464.73832393704,1.4741520204002079,383,383,partsupp_deep_wiki_10,1.2997132539749146,2.904740333557129
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7834709,80337,76352.0100348356,1.0521923386607142,383,383,partsupp_deep_wiki_10,1.269679069519043,2.928159475326538
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7376316,79635,55791.50447545487,1.4273678537390029,383,383,partsupp_deep_wiki_10,1.1346229314804077,3.0122389793395996
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5165847,78751,89713.61179093183,1.1392060010784857,383,383,partsupp_deep_wiki_10,1.2349876165390015,2.7299203872680664
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1376518,80895,91622.41204180273,1.1326090863687834,383,383,partsupp_deep_wiki_10,1.1538054943084717,2.9609169960021973
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,378067,80388,62826.79682866472,1.27951772265625,383,383,partsupp_deep_wiki_10,1.1999801397323608,2.816741704940796
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,2548244,78195,62554.11107854031,1.2500377457497822,383,383,partsupp_deep_wiki_10,1.2704721689224243,2.5824332237243652
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,6059356,79211,68716.80903135204,1.1527165058531748,383,383,partsupp_deep_wiki_10,1.0709707736968994,2.732553482055664
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,2093515,79124,70625.60928222293,1.120330157915058,383,383,partsupp_deep_wiki_10,1.2240983247756958,3.258465528488159
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,7666555,80515,122381.3646558365,1.5199821729595293,383,383,partsupp_deep_wiki_10,1.2897976636886597,2.78531551361084
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,4888112,79130,118509.22700406982,1.4976523063827856,383,383,partsupp_deep_wiki_10,1.1825072765350342,3.1102471351623535
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,3745676,79374,89331.85174075766,1.1254548308105634,383,383,partsupp_deep_wiki_10,1.1852964162826538,2.8956305980682373
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1117872,79989,58900.122026873185,1.3580447246527776,383,383,partsupp_deep_wiki_10,1.280386209487915,2.95947265625
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,1782015,79662,64899.20852961026,1.2274725964285715,383,383,partsupp_deep_wiki_10,1.308508276939392,2.5999391078948975
partsupp_deep_wiki_10,adaptive_sampling,0.01,0.1,5399003,80618,76788.30723503468,1.0498733844105113,383,383,partsupp_deep_wiki_10,1.1544610261917114,2.9213407039642334
