table_pair,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D_deep_target,D_wiki_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1458649,1.1585617065429688,2.7521116733551025,81843,42346.76838235294,1.932685848918432,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3590985,1.2515356540679932,2.681626081466675,79766,83393.30282847588,1.0454742976766527,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2861019,1.2202587127685547,2.5906567573547363,79955,105767.09338235293,1.3228327607073096,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7811320,1.1162461042404175,2.4001996517181396,78388,41556.96,1.8862784958283763,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1427886,1.2062091827392578,3.04740571975708,78728,123310.69902534113,1.566287712444634,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4288339,1.1372402906417847,2.728555679321289,79196,81388.74671052632,1.0276875942033223,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3227404,1.2433892488479614,2.4409737586975098,79716,41667.52083333333,1.9131447805319992,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5886013,1.243363618850708,2.386617422103882,81577,20734.4375,3.93437246609656,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2636413,1.0980408191680908,2.9915456771850586,76504,103055.0475,1.3470543697061592,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6936640,1.329702615737915,3.214108943939209,82752,63146.43609022556,1.3104777581075424,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5469472,1.141785740852356,2.6846120357513428,80131,62188.64802631579,1.288514906548406,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4444886,1.1260658502578735,2.7931673526763916,79490,20778.48,3.825592632377344,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6631898,1.2197622060775757,2.4933252334594727,79933,41900.39009287926,1.9076910697684453,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7640583,1.2964671850204468,2.686100482940674,78485,166915.943800905,2.1267241358336624,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7822107,1.2597941160202026,3.0149857997894287,78980,20727.105263157893,3.8104693828320406,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6733700,1.1525179147720337,2.5678486824035645,82366,62665.26838235294,1.3143803916619776,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,839131,1.1870739459991455,2.6081724166870117,79146,103813.84084008097,1.311675142648788,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6952719,1.2008575201034546,2.804694890975952,79448,145095.9201139601,1.826300474699931,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3862714,1.1932599544525146,2.797197103500366,81596,103230.21654761904,1.2651381997600255,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,695062,1.1563990116119385,2.7706475257873535,80699,62856.63009287926,1.283858200491439,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6815544,1.2705234289169312,2.652454376220703,77021,61862.53260869565,1.2450347044015722,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6963267,1.2207585573196411,2.685063362121582,79706,20956.24,3.8034494737605598,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3402371,1.2719320058822632,2.85098934173584,78255,102763.25639751554,1.3131845428089648,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6909999,1.2934293746948242,2.8206779956817627,78043,164771.59551448066,2.11129243512526,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6366790,1.275483250617981,3.098679304122925,81810,42397.25641025641,1.9296059916794328,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,481095,1.2758615016937256,2.239798069000244,80746,20963.78947368421,3.8516891281206695,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3528014,1.192535400390625,2.73050594329834,78342,82759.21111111112,1.0563836908824273,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5369867,1.248127818107605,2.9118566513061523,76434,82812.09714285715,1.0834458113255507,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7520880,1.2978402376174927,2.7340762615203857,81176,21218.85714285714,3.8256537311825065,385,385
