table,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1458649,1.1585617065429688,572.3234252929688,81998,125348.08333333333,1.5286724472954625,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3590985,1.2515356540679932,578.5886840820312,78419,61710.84,1.2707491909038997,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2861019,1.2202587127685547,531.1737060546875,79434,84724.58823529413,1.0666035732217203,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7811320,1.1162461042404175,496.4654235839844,82115,81885.49342105264,1.0028027745740902,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1427886,1.2062091827392578,590.193359375,77500,41604.06782608696,1.862798616807495,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4288339,1.1372402906417847,552.8969116210938,78390,146098.3368286445,1.8637369157882957,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3227404,1.2433892488479614,569.2608642578125,79293,62412.99565217391,1.270456563916559,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5886013,1.243363618850708,532.3810424804688,80901,124844.14782608696,1.5431718745885337,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2636413,1.0980408191680908,541.2767333984375,77978,125828.09999999999,1.6136358973043678,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6936640,1.329702615737915,472.79803466796875,82318,63205.90909090909,1.3023782298835695,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5469472,1.141785740852356,487.6527404785156,77702,103212.16282608696,1.3283076732399033,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4444886,1.1260658502578735,478.550537109375,80178,102277.33092105263,1.2756283634045826,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6631898,1.2197622060775757,434.9550476074219,83542,82906.76561085973,1.007662033182212,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7640583,1.2964671850204468,513.2020874023438,79974,63095.156274509805,1.267514096518835,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7822107,1.2597941160202026,474.6644287109375,80684,20853.30769230769,3.869122404488497,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6733700,1.1525179147720337,595.0745239257812,81716,105205.13176470589,1.287448379322359,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,839131,1.1870739459991455,454.89306640625,79645,83199.54000000001,1.0446297947140437,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6952719,1.2008575201034546,458.9126281738281,78947,41436.125,1.9052698581250056,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3862714,1.1932599544525146,582.0686645507812,79134,62669.8,1.2627134600716772,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,695062,1.1563990116119385,546.825927734375,81532,62878.566563467495,1.2966580578408122,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6815544,1.2705234289169312,542.8360595703125,78310,20879.72,3.7505292216562287,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6963267,1.2207585573196411,487.38897705078125,78860,143919.99376041917,1.8250062612277347,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3402371,1.2719320058822632,482.260009765625,78971,63147.886666666665,1.2505723337481973,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6909999,1.2934293746948242,556.494140625,79060,103621.73913043478,1.3106721367370957,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6366790,1.275483250617981,505.9660949707031,82611,21024.153846153848,3.929337684860636,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,481095,1.2758615016937256,509.6593933105469,79159,61667.32057416268,1.2836458478003983,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3528014,1.192535400390625,492.5322265625,77806,81847.52226720648,1.0519435810503879,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5369867,1.248127818107605,488.4177551269531,77241,82927.82826647037,1.073624477498613,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7520880,1.2978402376174927,550.653076171875,80807,187696.85083333336,2.3227795962396,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6025740,1.1894699335098267,454.29901123046875,80332,40633.36842105263,1.9769958317897915,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3454116,1.2314070463180542,528.7625122070312,76835,62436.87294117648,1.2306029495165205,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6288378,1.2452954053878784,492.21063232421875,79815,62032.25384615385,1.2866693542676868,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1370862,1.2117983102798462,497.7179870605469,79848,144094.36746844486,1.804608349219077,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2964065,1.2284141778945923,512.8976440429688,78857,84206.31411764707,1.06783562800572,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7031696,1.2324044704437256,485.07708740234375,78774,62559.92307692308,1.2591767400855056,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4389879,1.2300347089767456,601.8147583007812,80734,105255.19411764706,1.3037282200516147,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,332506,1.2145559787750244,513.7750854492188,79899,41961.07294117648,1.9041219492172463,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7799146,1.2312073707580566,519.1454467773438,79058,61845.333708439895,1.278317946713757,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3041529,1.1483227014541626,488.72784423828125,79571,81308.15263157894,1.0218314792019572,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,737452,1.2798588275909424,434.2889404296875,80194,62208.95972850679,1.2891069124123564,385,385
