table,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1458649,1.1585617065429688,2.7184441089630127,82715,20892.833333333332,3.9590130587043406,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3590985,1.2515356540679932,3.0231802463531494,79084,62823.34761904762,1.2588313580415167,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2861019,1.2202587127685547,3.0251450538635254,79384,82086.23781512605,1.0340400813152026,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7811320,1.1162461042404175,3.0742101669311523,80561,40607.78195488722,1.9838808258352643,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1427886,1.2062091827392578,2.258613109588623,79151,230659.44716202267,2.9141697156324327,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4288339,1.1372402906417847,2.8810176849365234,77489,20415.69230769231,3.795560730056819,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3227404,1.2433892488479614,2.7680041790008545,79553,41630.120204603576,1.9109481214325872,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5886013,1.243363618850708,2.8677988052368164,82408,41775.94411764706,1.9726184946994194,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2636413,1.0980408191680908,2.893977165222168,78759,142600.63909774437,1.8105948411958552,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6936640,1.329702615737915,2.507002115249634,81261,41935.5403726708,1.937759696855067,385,385
