table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,1458649,1.1585617065429688,2.7184441089630127,82715,59379.631578947374,1.3929860762107864,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,3590985,1.2515356540679932,3.0231802463531494,79084,92071.42105263159,1.1642231178573617,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,2861019,1.2202587127685547,3.0251450538635254,79384,78908.68421052632,1.006023618239604,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,7811320,1.1162461042404175,3.0742101669311523,80561,109394.84210526316,1.3579131602793306,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,1427886,1.2062091827392578,2.258613109588623,79151,107686.03421052631,1.360513881195769,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,4288339,1.1372402906417847,2.8810176849365234,77489,155121.73684210528,2.0018549322110917,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,3227404,1.2433892488479614,2.7680041790008545,79553,99811.06842105264,1.2546487049017967,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,5886013,1.243363618850708,2.8677988052368164,82408,125031.67105263157,1.5172273450712501,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,2636413,1.0980408191680908,2.893977165222168,78759,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6936640,1.329702615737915,2.507002115249634,81261,135614.26842105263,1.6688727485639192,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,5469472,1.141785740852356,3.1559786796569824,80106,91056.70789473683,1.1367027175834123,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,4444886,1.1260658502578735,3.1018006801605225,79687,140006.73684210525,1.7569583099138537,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6631898,1.2197622060775757,2.7592804431915283,78341,101127.63157894736,1.2908647014838637,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,7640583,1.2964671850204468,2.6787314414978027,79077,16345.894736842105,4.837728449441675,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,7822107,1.2597941160202026,2.7638301849365234,79384,94877.25789473685,1.1951685212982068,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6733700,1.1525179147720337,3.2069685459136963,81438,36375.36842105263,2.238822685102122,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,839131,1.1870739459991455,2.5813450813293457,79385,108256.73157894737,1.3636925310694383,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6952719,1.2008575201034546,2.641003370285034,78971,83730.67105263157,1.060271125509764,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,3862714,1.1932599544525146,2.9998741149902344,79869,148000.67105263157,1.853042745653903,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,695062,1.1563990116119385,3.157975435256958,81003,48290.94736842105,1.677395131265749,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6815544,1.2705234289169312,3.005286931991577,79804,56169.93421052632,1.4207600760380563,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6963267,1.2207585573196411,2.8787217140197754,80843,124960.0,1.5457120591764284,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,3402371,1.2719320058822632,2.8398821353912354,81129,73064.38421052632,1.1103768392304034,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6909999,1.2934293746948242,2.6966755390167236,80866,120477.52105263158,1.4898414791461378,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6366790,1.275483250617981,3.16326642036438,82474,124383.27894736841,1.5081514046532047,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,481095,1.2758615016937256,2.7351417541503906,80410,44538.47368421053,1.8054053798549097,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,3528014,1.192535400390625,3.1224870681762695,76771,89960.66578947369,1.1718053143696667,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,5369867,1.248127818107605,2.802806854248047,77621,33017.38421052632,2.350913067645545,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,7520880,1.2978402376174927,2.8685460090637207,79518,74755.27368421052,1.0637109073522855,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6025740,1.1894699335098267,3.341740131378174,80289,10634.578947368422,7.5498052529731705,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,3454116,1.2314070463180542,2.8160572052001953,81164,68470.4552631579,1.1853871817860127,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,6288378,1.2452954053878784,2.823155403137207,79964,127016.81842105262,1.588425021522843,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,1370862,1.2117983102798462,2.676485300064087,81658,93778.63157894737,1.1484316488151483,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,2964065,1.2284141778945923,2.813986301422119,80358,91644.15789473684,1.1404484667953014,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,7031696,1.2324044704437256,2.8090691566467285,79657,40671.47368421053,1.9585471777710486,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,4389879,1.2300347089767456,2.8626089096069336,78749,55068.67894736842,1.430014329475089,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,332506,1.2145559787750244,2.9190993309020996,78918,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_wiki_10,partsupp_deep_wiki_10,hdbscan,0.01,0.1,7799146,1.2312073707580566,2.8348586559295654,78597,154038.29736842107,1.959849579098707,HDBSCAN,P1_Cluster
