table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,145860,1.3125383853912354,493.20147705078125,7929,2419.3,3.277394287603852,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,359095,1.258963704109192,587.4684448242188,8281,6177.263157894737,1.3405613114307138,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,286093,1.1250864267349243,602.8929443359375,8145,3930.5105263157893,2.072249888523923,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,781121,1.178353190422058,514.0215454101562,8191,12857.500000000002,1.5697106580393116,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,142780,1.2204875946044922,473.2214050292969,7694,8332.473684210527,1.082983322616393,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,428790,1.208726167678833,537.9324340820312,8110,16320.894736842105,2.012440781361542,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,322723,1.201585054397583,459.1468200683594,8076,6309.684210526317,1.2799372726969402,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,588557,1.3140754699707031,591.347412109375,8090,7925.231578947369,1.0207903604344286,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,263638,1.2552679777145386,475.7867126464844,7982,4605.1578947368425,1.7332739034035063,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,693614,1.2929290533065796,562.9500732421875,8281,5997.736842105263,1.3806874522846337,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,546912,1.2068768739700317,570.2767333984375,7983,6510.421052631578,1.226187973936523,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,444449,1.3171755075454712,530.9553833007812,8106,7946.736842105263,1.0200413277876388,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,663176,1.187335729598999,454.77838134765625,7928,5552.5,1.4278253039171545,ThompsonSampling,P15_BayesianBandit
partsupp_deep_sift_1,partsupp_deep_sift_1,thompson_sampling,0.01,0.1,763999,1.129727840423584,494.7989501953125,8105,6967.578947368422,1.163244802997341,ThompsonSampling,P15_BayesianBandit
