table_pair,dataset,mode,selectivity,seed,query_id,D_deep_target,D_wiki_target,true_card,est,q_error,method_user,paradigm
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,145860,364.46563720703125,2.7791433334350586,8141,10100.631578947368,1.2407114087885234,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,359095,383.42626953125,2.330082654953003,8021,8061.878947368421,1.0050964901344497,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,286093,385.6861267089844,2.1552388668060303,8295,5924.263157894737,1.4001741278062563,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,781121,408.2724609375,2.2795467376708984,7996,0.0,,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,142780,357.7455749511719,2.7598116397857666,8214,7973.21052631579,1.0301998138503277,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,428790,373.8810119628906,2.257038116455078,8003,12167.842105263158,1.5204101093668823,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,322723,378.48870849609375,2.8452041149139404,8230,13180.857894736842,1.601562320138134,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,588557,372.0467529296875,2.8811392784118652,8065,12506.771052631579,1.5507465657323718,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,263638,368.9966125488281,3.1491057872772217,8119,8828.6,1.0873999260992733,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,693614,392.36932373046875,2.3145997524261475,7984,7789.631578947368,1.0249521969149273,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,546912,361.6460876464844,3.094848394393921,8033,9024.736842105263,1.1234578416662846,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,444449,391.6747131347656,2.622706890106201,8133,3867.684210526316,2.10280869825545,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,663176,337.7731628417969,2.3369600772857666,8132,7731.526315789473,1.051797493515953,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,763999,372.2793273925781,2.7435648441314697,8127,16432.315789473683,2.0219411578040707,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,782168,349.2619323730469,2.321883201599121,7746,2918.8947368421054,2.6537442074325175,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,673362,369.7781677246094,2.6439919471740723,8301,18303.736842105263,2.2050038359360635,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,83904,319.8409118652344,2.928945541381836,7982,7735.368421052632,1.0318836240916638,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,695261,324.0319519042969,2.5670652389526367,8056,10599.0,1.3156653426017875,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,386245,381.8100280761719,2.7859504222869873,8226,6112.78947368421,1.345703141816554,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,69504,352.2740478515625,3.0938942432403564,8210,1006.1052631578947,8.160179953965265,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,681535,364.0436706542969,3.186352491378784,8136,5326.473684210527,1.5274646008517534,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,696279,371.8330078125,2.6614370346069336,8138,0.0,,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,340223,387.0399169921875,2.7366652488708496,8023,9915.563157894736,1.2358922046484777,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,690943,385.08843994140625,3.105254888534546,8117,9779.786842105264,1.2048523890729659,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,636616,376.94268798828125,2.822864055633545,7950,4696.7,1.692677837630677,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,48106,391.63043212890625,2.8765604496002197,8045,3867.684210526316,2.0800560651008353,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,352770,365.34051513671875,3.0234601497650146,8107,8574.381578947368,1.057651607123149,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,536954,408.37432861328125,2.944667100906372,8142,11203.052631578948,1.3759583187888662,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,752067,351.4053039550781,2.5798802375793457,7984,8872.947368421052,1.1113411032591498,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,602570,386.77215576171875,2.6612396240234375,8029,14052.421052631578,1.750208127118144,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,345404,380.667724609375,2.7372653484344482,8017,12941.842105263157,1.6142998759215612,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,628777,390.7913818359375,2.7295992374420166,7851,5589.823684210526,1.4045165721732114,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,137071,387.11431884765625,2.437206745147705,8113,13152.368421052632,1.6211473463641848,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,296404,364.69561767578125,3.154475212097168,8012,5985.634210526316,1.3385381929804738,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,703153,385.7873840332031,3.1921608448028564,7997,15751.342105263157,1.9696563843020078,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,438962,364.2394714355469,2.468273162841797,7968,10803.315789473683,1.355837824984147,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,33248,350.9059753417969,2.1035821437835693,7959,15821.894736842105,1.9879249575125149,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,779894,347.6433410644531,2.428924083709717,8233,6177.894736842105,1.3326546260010224,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,304120,353.7880859375,2.57894229888916,8030,11095.0,1.3816936488169365,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,73745,394.4474792480469,2.5097620487213135,7731,8526.244736842105,1.1028644078181484,HDBSCAN,P1_Cluster
partsupp_yfcc_1_join_part_wiki_1,partsupp_yfcc_1_join_part_wiki_1,hdbscan,0.01,0.1,516733,336.5292053222656,2.8653626441955566,7872,9857.194736842106,1.2521842907573815,HDBSCAN,P1_Cluster
