table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,145860,493.20147705078125,2.7791433334350586,8022,17171.94210526316,2.1406060963928146,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,359095,587.4684448242188,2.330082654953003,8187,11855.263157894737,1.448059503834706,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,286093,602.8929443359375,2.1552388668060303,7943,5023.421052631579,1.581193357430981,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,781121,514.0215454101562,2.2795467376708984,8085,8918.868421052632,1.10313771441591,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,142780,473.2214050292969,2.7598116397857666,7783,11565.205263157895,1.4859572482536163,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,428790,537.9324340820312,2.257038116455078,7865,16058.88947368421,2.041816843443638,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,322723,459.1468200683594,2.8452041149139404,7932,7164.128947368421,1.1071827514932766,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,588557,591.347412109375,2.8811392784118652,7764,7234.105263157895,1.073249519818404,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,263638,475.7867126464844,3.1491057872772217,8222,5902.631578947368,1.3929380294248774,LpBound,P20_PessimisticLP
partsupp_sift_wiki_1,partsupp_sift_wiki_1,lp_bound,0.01,0.1,693614,562.9500732421875,2.3145997524261475,8312,15551.736842105263,1.870998176384175,LpBound,P20_PessimisticLP
