cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,145860,8141,6735.705852588971,1.2086335386618587,770,770,3.5512996837496758,364.46563720703125,2.7791433334350586,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,359095,8021,9186.034744476303,1.1452480668839675,770,770,1.2331381440162659,383.42626953125,2.330082654953003,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,286093,8295,9736.549165120594,1.173785312250825,770,770,1.450536772608757,385.6861267089844,2.1552388668060303,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,781121,7996,7189.07066959015,1.1122439001501503,770,770,1.2720106169581413,408.2724609375,2.2795467376708984,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,142780,8214,7987.856299544612,1.0283109375,770,770,1.2164702638983727,357.7455749511719,2.7598116397857666,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,428790,8003,12586.270871985156,1.5726940987111278,770,770,1.2904396280646324,373.8810119628906,2.257038116455078,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,322723,8230,5051.779389441727,1.629128939636752,770,770,1.2510735541582108,378.48870849609375,2.8452041149139404,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,588557,8065,11161.410018552875,1.383931806392173,770,770,1.2025609612464905,372.0467529296875,2.8811392784118652,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,263638,8119,6989.374262101536,1.161620439189189,770,770,1.4372654259204865,368.9966125488281,3.1491057872772217,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,693614,7984,4684.769775678866,1.7042459677419357,770,770,1.1921972036361694,392.36932373046875,2.3145997524261475,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,546912,8033,8786.641929499072,1.093818240943492,770,770,1.2838318943977356,361.6460876464844,3.094848394393921,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,444449,8133,8851.408331927812,1.0883325134547908,770,770,1.2471675872802734,391.6747131347656,2.622706890106201,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,663176,8132,7253.83707201889,1.1210618489583335,770,770,1.1225957423448563,337.7731628417969,2.3369600772857666,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,763999,8127,10443.582391634338,1.2850476672369064,770,770,1.2869033962488174,372.2793273925781,2.7435648441314697,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,782168,7746,8419.632315736213,1.0869651840609622,770,770,1.146642491221428,349.2619323730469,2.321883201599121,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,673362,8301,7189.07066959015,1.1546694115990992,770,770,1.1178897693753242,369.7781677246094,2.6439919471740723,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,83904,7982,4857.480182155507,1.6432388194444445,770,770,1.1983374133706093,319.8409118652344,2.928945541381836,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,695261,8056,7658.627087198515,1.0518856589147287,770,770,0.8241161704063416,324.0319519042969,2.5670652389526367,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,386245,8226,7858.323494687131,1.0467881610576923,770,770,0.7978649809956551,381.8100280761719,2.7859504222869873,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,69504,8210,7178.27626918536,1.1437286184210527,770,770,0.7782885804772377,352.2740478515625,3.0938942432403564,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,681535,8136,8209.141507842807,1.0089898608459693,770,770,0.7718512788414955,364.0436706542969,3.186352491378784,
