cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
YFCC_sf10,single,B1,0.01,0.1,0,79482,145454.54545454547,1.8300312706593376,385,385,0.43632928282022476,351.66033935546875,,
YFCC_sf10,single,B1,0.01,0.1,1,78747,145454.54545454547,1.8471122132213986,385,385,0.17880741506814957,320.0639343261719,,
YFCC_sf10,single,B1,0.01,0.1,2,80129,41558.44155844156,1.9281040624999999,385,385,0.14783069491386414,298.1123046875,,
YFCC_sf10,single,B1,0.01,0.1,3,79245,124675.3246753247,1.5732894778891373,385,385,0.1355540007352829,326.7735595703125,,
YFCC_sf10,single,B1,0.01,0.1,4,81279,124675.3246753247,1.5339180437176232,385,385,0.13255421072244644,319.0046081542969,,
YFCC_sf10,single,B1,0.01,0.1,5,77017,41558.44155844156,1.8532215625,385,385,0.1330999657511711,319.58245849609375,,
YFCC_sf10,single,B1,0.01,0.1,6,80888,124675.3246753247,1.5413327647528026,385,385,0.13583526015281677,246.33485412597656,,
YFCC_sf10,single,B1,0.01,0.1,7,81767,103896.1038961039,1.270636123327307,385,385,0.12709666043519974,352.29656982421875,,
YFCC_sf10,single,B1,0.01,0.1,8,80011,103896.1038961039,1.2985227518229232,385,385,0.13871118426322937,323.9490661621094,,
YFCC_sf10,single,B1,0.01,0.1,9,84330,103896.1038961039,1.232018307792054,385,385,0.13524480164051056,383.61431884765625,,
YFCC_sf10,single,B1,0.01,0.1,10,75890,41558.44155844156,1.826103125,385,385,0.12422073632478714,335.955322265625,,
YFCC_sf10,single,B1,0.01,0.1,11,80473,103896.1038961039,1.2910678599791718,385,385,0.12276694178581238,361.13287353515625,,
YFCC_sf10,single,B1,0.01,0.1,12,80214,62337.66233766235,1.28676625,385,385,0.11895224452018738,304.3977355957031,,
YFCC_sf10,single,B1,0.01,0.1,13,79946,0.0,,385,385,0.1254044473171234,356.66363525390625,,
YFCC_sf10,single,B1,0.01,0.1,14,80588,145454.54545454547,1.8049156878759303,385,385,0.13445410877466202,126.77113342285156,,
YFCC_sf10,single,B1,0.01,0.1,15,77971,83116.88311688312,1.0659973979669766,385,385,0.12823380529880524,272.2295837402344,,
YFCC_sf10,single,B1,0.01,0.1,16,77647,62337.66233766235,1.2455872916666666,385,385,0.12112036347389221,314.1464538574219,,
YFCC_sf10,single,B1,0.01,0.1,17,77887,62337.66233766235,1.2494372916666665,385,385,0.12132152915000916,287.017333984375,,
YFCC_sf10,single,B1,0.01,0.1,18,80221,41558.44155844156,1.9303178124999998,385,385,0.11907890439033508,296.2414245605469,,
YFCC_sf10,single,B1,0.01,0.1,19,81011,41558.44155844156,1.9493271874999998,385,385,0.11684652417898178,305.3194580078125,,
YFCC_sf10,single,B1,0.01,0.1,20,80194,83116.88311688312,1.0364476534015403,385,385,0.1506870612502098,325.6192626953125,,
