cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
partsupp_deep_wiki_10,4way,B6,0.01,0.1,1458649,82715,84780.10437157359,1.0249665039179543,395,395,50.499452278018,1.1585617065429688,2.7184441089630127,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,3590985,79084,137248.59534009633,1.7354786725519238,386,386,50.21470878273249,1.2515356540679932,3.0231802463531494,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,2861019,79384,99534.2275250954,1.2538323531832032,389,389,36.52814123779535,1.2202587127685547,3.0251450538635254,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,7811320,80561,71418.11246077539,1.128019170826534,394,394,51.190102472901344,1.1162461042404175,3.0742101669311523,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,1427886,79151,74395.40476190476,1.063923238986535,385,385,23.27561192214489,1.2062091827392578,2.258613109588623,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,4288339,77489,77211.3366545735,1.0035961473723567,385,385,23.470443673431873,1.1372402906417847,2.8810176849365234,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,3227404,79553,104670.19272580829,1.315729045112168,387,387,35.80828011035919,1.2433892488479614,2.7680041790008545,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,5886013,82408,110645.59705190141,1.3426560170359845,385,385,34.64624658226967,1.243363618850708,2.8677988052368164,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,2636413,78759,36716.91717716015,2.145033027146196,398,398,32.69923198968172,1.0980408191680908,2.893977165222168,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,6936640,81261,91489.75276584316,1.1258753001543564,385,385,52.99591273069382,1.329702615737915,2.507002115249634,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,5469472,80106,74699.184410948,1.07238118637691,388,388,65.64639694988728,1.141785740852356,3.1559786796569824,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,4444886,79687,64758.71761755486,1.230521587388543,390,390,30.048212967813015,1.1260658502578735,3.1018006801605225,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,6631898,78341,95940.79506033183,1.224656247180044,385,385,23.44656642526388,1.2197622060775757,2.7592804431915283,
partsupp_deep_wiki_10,4way,B6,0.01,0.1,7640583,79077,135061.01757119186,1.7079684051139,385,385,22.94039260596037,1.2964671850204468,2.6787314414978027,
