cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
multi_join_sift_wiki_1,join,B1,0.01,0.1,145860,8022,6390.285039635689,1.2553430637668919,770,770,1.218724064528942,493.20147705078125,2.7791433334350586,
multi_join_sift_wiki_1,join,B1,0.01,0.1,359095,8187,7388.767077078765,1.108033304419284,770,770,0.8628638461232185,587.4684448242188,2.330082654953003,
multi_join_sift_wiki_1,join,B1,0.01,0.1,286093,7943,8549.165120593692,1.076314380031939,770,770,0.8009159937500954,602.8929443359375,2.1552388668060303,
multi_join_sift_wiki_1,join,B1,0.01,0.1,781121,8085,10184.516781919378,1.2596804925070348,770,770,0.8353115990757942,514.0215454101562,2.2795467376708984,
multi_join_sift_wiki_1,join,B1,0.01,0.1,142780,7783,6789.67785461292,1.146298862281399,770,770,0.941125676035881,473.2214050292969,2.7598116397857666,
multi_join_sift_wiki_1,join,B1,0.01,0.1,428790,7865,9974.025974025973,1.2681533342690368,770,770,0.7758205756545067,537.9324340820312,2.257038116455078,
multi_join_sift_wiki_1,join,B1,0.01,0.1,322723,7932,6946.196660482375,1.1419198717948718,770,770,0.7247580215334892,459.1468200683594,2.8452041149139404,
multi_join_sift_wiki_1,join,B1,0.01,0.1,588557,7764,8074.211502782931,1.0399551137020777,770,770,0.7162466645240784,591.347412109375,2.8811392784118652,
multi_join_sift_wiki_1,join,B1,0.01,0.1,263638,8222,5990.892224658458,1.3724166103603606,770,770,0.724179670214653,475.7867126464844,3.1491057872772217,
multi_join_sift_wiki_1,join,B1,0.01,0.1,693614,8312,6525.215044695565,1.2738277502067823,770,770,0.7265442982316017,562.9500732421875,2.3145997524261475,
multi_join_sift_wiki_1,join,B1,0.01,0.1,546912,8196,7599.25788497217,1.0785263671875,770,770,0.7550492882728577,570.2767333984375,3.094848394393921,
multi_join_sift_wiki_1,join,B1,0.01,0.1,444449,8184,9499.072356215214,1.160688215568819,770,770,0.7382836192846298,530.9553833007812,2.622706890106201,
multi_join_sift_wiki_1,join,B1,0.01,0.1,663176,8137,11657.952437173217,1.432708914486078,770,770,0.7427465170621872,454.77838134765625,2.3369600772857666,
multi_join_sift_wiki_1,join,B1,0.01,0.1,763999,7786,9515.263956822399,1.2220991467791418,770,770,0.7561696693301201,494.7989501953125,2.7435648441314697,
multi_join_sift_wiki_1,join,B1,0.01,0.1,782168,7948,8419.632315736213,1.059339747827908,770,770,0.7478911429643631,472.7889709472656,2.321883201599121,
multi_join_sift_wiki_1,join,B1,0.01,0.1,673362,8052,6994.771462303931,1.1511455439814813,770,770,0.755668617784977,524.2796020507812,2.6439919471740723,
multi_join_sift_wiki_1,join,B1,0.01,0.1,83904,8081,6994.771462303931,1.1552914978780862,770,770,0.7670503109693527,474.34765625,2.928945541381836,
multi_join_sift_wiki_1,join,B1,0.01,0.1,695261,8129,6233.766233766234,1.3040270833333332,770,770,0.7555773481726646,515.737060546875,2.5670652389526367,
multi_join_sift_wiki_1,join,B1,0.01,0.1,386245,8160,6347.107438016527,1.2856250000000002,770,770,0.7610023021697998,556.582763671875,2.7859504222869873,
multi_join_sift_wiki_1,join,B1,0.01,0.1,69504,8144,9434.305953786474,1.1584363892173961,770,770,0.7474394515156746,518.8878784179688,3.0938942432403564,
multi_join_sift_wiki_1,join,B1,0.01,0.1,681535,8089,8419.632315736213,1.0408743127378184,770,770,0.7468229159712791,470.57379150390625,3.186352491378784,
multi_join_sift_wiki_1,join,B1,0.01,0.1,696279,8043,9499.072356215214,1.1810359761550684,770,770,7.6451376080513,487.88861083984375,2.6614370346069336,
multi_join_sift_wiki_1,join,B1,0.01,0.1,340223,8353,12429.752066115701,1.488058430038992,770,770,0.7618730887770653,556.8862915039062,2.7366652488708496,
multi_join_sift_wiki_1,join,B1,0.01,0.1,690943,8395,7523.69708213864,1.1158078147417505,770,770,0.7481975480914116,558.5206909179688,3.105254888534546,
multi_join_sift_wiki_1,join,B1,0.01,0.1,636616,7965,9261.595547309833,1.1627866349415985,770,770,0.7555112242698669,470.1650695800781,2.822864055633545,
multi_join_sift_wiki_1,join,B1,0.01,0.1,48106,8278,6589.981447124304,1.2561492117117117,770,770,0.7496988400816917,490.50250244140625,2.8765604496002197,
multi_join_sift_wiki_1,join,B1,0.01,0.1,352770,8223,5181.312194299207,1.5870497070312501,770,770,0.7420182228088379,457.4383850097656,3.0234601497650146,
multi_join_sift_wiki_1,join,B1,0.01,0.1,536954,8373,6908.41625906561,1.2119999267578125,770,770,0.7305806502699852,586.05029296875,2.944667100906372,
multi_join_sift_wiki_1,join,B1,0.01,0.1,752067,8032,7771.968291448812,1.0334576388888888,770,770,0.7599117234349251,475.32525634765625,2.5798802375793457,
multi_join_sift_wiki_1,join,B1,0.01,0.1,602570,7943,10400.404790015178,1.3093799307585519,770,770,0.7561091333627701,501.6029052734375,2.6612396240234375,
multi_join_sift_wiki_1,join,B1,0.01,0.1,345404,7992,7987.856299544612,1.00051875,770,770,7.484957575798035,520.9199829101562,2.7372653484344482,
multi_join_sift_wiki_1,join,B1,0.01,0.1,628777,7920,10400.404790015178,1.3131824229817144,770,770,0.7473612204194069,494.2821960449219,2.7295992374420166,
multi_join_sift_wiki_1,join,B1,0.01,0.1,137071,8217,8808.23073030865,1.0719521395045213,770,770,0.7492899894714355,524.1223754882812,2.437206745147705,
multi_join_sift_wiki_1,join,B1,0.01,0.1,296404,7833,7744.982290436836,1.011364481707317,770,770,0.7432093843817711,489.5136413574219,3.154475212097168,
multi_join_sift_wiki_1,join,B1,0.01,0.1,703153,8222,11415.07842806544,1.3883578725450547,770,770,0.7364554330706596,464.6705017089844,3.1921608448028564,
multi_join_sift_wiki_1,join,B1,0.01,0.1,438962,8132,7966.267498735032,1.0208042852303523,770,770,0.7318872958421707,548.7824096679688,2.468273162841797,
multi_join_sift_wiki_1,join,B1,0.01,0.1,33248,7960,7771.968291448811,1.0241935763888887,770,770,0.7288893684744835,471.7963562011719,2.1035821437835693,
multi_join_sift_wiki_1,join,B1,0.01,0.1,779894,8147,6589.981447124304,1.2362705518018018,770,770,0.7451986894011497,520.0441284179688,2.428924083709717,
multi_join_sift_wiki_1,join,B1,0.01,0.1,304120,7854,9132.062742452354,1.1627276219063347,770,770,0.7325392216444016,483.2489929199219,2.57894229888916,
multi_join_sift_wiki_1,join,B1,0.01,0.1,73745,7575,7523.69708213864,1.006818844153515,770,770,0.7324367761611938,475.82330322265625,2.5097620487213135,
multi_join_sift_wiki_1,join,B1,0.01,0.1,516733,8156,10945.522010457074,1.342020844832893,770,770,0.742107629776001,518.1920776367188,2.8653626441955566,
multi_join_sift_wiki_1,join,B1,0.01,0.1,181346,8085,7302.411873840445,1.1071684451219512,770,770,0.7373327389359474,515.7211303710938,3.1206812858581543,
multi_join_sift_wiki_1,join,B1,0.01,0.1,620747,7857,8786.641929499072,1.1183202150310643,770,770,0.7654335349798203,490.85638427734375,2.927414894104004,
multi_join_sift_wiki_1,join,B1,0.01,0.1,738510,7956,8786.641929499072,1.1044044657490035,770,770,0.7571177557110786,484.3815612792969,2.402500629425049,
multi_join_sift_wiki_1,join,B1,0.01,0.1,111011,7852,9186.034744476303,1.1698974458069666,770,770,0.763637013733387,619.6851196289062,2.744110584259033,
multi_join_sift_wiki_1,join,B1,0.01,0.1,426052,8049,9909.259571597233,1.23111685570844,770,770,0.7699206471443176,496.3959045410156,2.700775384902954,
multi_join_sift_wiki_1,join,B1,0.01,0.1,724169,8206,12435.149266318098,1.515372808471618,770,770,0.7429700344800949,483.02764892578125,2.68540358543396,
multi_join_sift_wiki_1,join,B1,0.01,0.1,588630,8207,6573.789846517118,1.2484427083333336,770,770,0.7426952943205833,489.6611022949219,2.7094972133636475,
multi_join_sift_wiki_1,join,B1,0.01,0.1,790256,8237,6023.275425872829,1.367528365815412,770,770,0.8236980065703392,491.0397033691406,2.567054033279419,
multi_join_sift_wiki_1,join,B1,0.01,0.1,201003,8314,5828.976218586608,1.426322511574074,770,770,0.7588258013129234,528.5396118164062,2.689554452896118,
multi_join_sift_wiki_1,join,B1,0.01,0.1,6443,7832,7329.792963344218,1.0685158556547618,766,766,0.7733842357993126,494.25982666015625,2.4705615043640137,
multi_join_sift_wiki_1,join,B1,0.01,0.1,642763,8242,10689.281404876983,1.2969281005674573,766,766,0.7311999797821045,507.8333435058594,2.4056813716888428,
multi_join_sift_wiki_1,join,B1,0.01,0.1,193392,8184,5497.344722508164,1.4887187202380952,766,766,0.7307324558496475,551.7854614257812,2.846799373626709,
multi_join_sift_wiki_1,join,B1,0.01,0.1,203755,7770,7329.792963344218,1.0600572265625,766,766,0.7397513836622238,458.30963134765625,2.872863292694092,
multi_join_sift_wiki_1,join,B1,0.01,0.1,94462,8053,6484.467137958538,1.2418907874264087,766,766,0.7496746256947517,470.1179504394531,2.8380818367004395,
multi_join_sift_wiki_1,join,B1,0.01,0.1,590890,8244,6675.347163045627,1.2349919485294119,766,766,0.7492434233427048,571.0032348632812,2.8598101139068604,
multi_join_sift_wiki_1,join,B1,0.01,0.1,783383,8169,6806.236323105345,1.2002227974759616,766,766,0.7470650598406792,510.24749755859375,2.81827974319458,
multi_join_sift_wiki_1,join,B1,0.01,0.1,737605,7694,9353.12122926736,1.2156383193744946,766,766,0.742761418223381,456.04693603515625,2.8511314392089844,
multi_join_sift_wiki_1,join,B1,0.01,0.1,516560,7889,9391.297234284779,1.190429361678892,766,766,0.7429132238030434,541.2479248046875,3.073276996612549,
multi_join_sift_wiki_1,join,B1,0.01,0.1,137642,8163,7667.923293498489,1.0645646399359887,766,766,0.742015428841114,562.4058837890625,2.7730391025543213,
