cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
SSN_sf10,single,B1,0.01,0.1,0,79242,103896.1038961039,1.3111242005010462,385,385,0.3265347331762314,2327.284423828125,,
SSN_sf10,single,B1,0.01,0.1,1,79759,83116.88311688312,1.0421003663145616,385,385,0.18338672816753387,2340.976806640625,,
SSN_sf10,single,B1,0.01,0.1,2,81451,83116.88311688312,1.0204525802861,385,385,0.1741396263241768,2326.0869140625,,
SSN_sf10,single,B1,0.01,0.1,3,80683,83116.88311688312,1.0301659967636692,385,385,0.16604457050561905,2323.63330078125,,
SSN_sf10,single,B1,0.01,0.1,4,78396,0.0,,385,385,0.15598442405462265,2312.801025390625,,
SSN_sf10,single,B1,0.01,0.1,5,81280,20779.22077922078,3.9115999999999995,385,385,0.15182234346866608,2307.44091796875,,
SSN_sf10,single,B1,0.01,0.1,6,79181,20779.22077922078,3.810585625,385,385,0.15530921518802643,2328.042724609375,,
SSN_sf10,single,B1,0.01,0.1,7,80949,62337.66233766235,1.2985568749999998,385,385,0.1489473506808281,2321.83740234375,,
SSN_sf10,single,B1,0.01,0.1,8,80280,62337.66233766235,1.2878249999999998,385,385,0.14973152428865433,2308.29443359375,,
SSN_sf10,single,B1,0.01,0.1,9,80739,103896.1038961039,1.2868143511327104,385,385,0.14907587319612503,2325.923828125,,
SSN_sf10,single,B1,0.01,0.1,10,79199,41558.44155844156,1.9057259374999997,385,385,0.14563649892807007,2320.857177734375,,
SSN_sf10,single,B1,0.01,0.1,11,79780,124675.3246753247,1.562739090941648,385,385,0.1468416303396225,2321.993408203125,,
SSN_sf10,single,B1,0.01,0.1,12,81129,62337.66233766235,1.3014443749999998,385,385,0.14851242303848267,2320.99462890625,,
SSN_sf10,single,B1,0.01,0.1,13,80833,83116.88311688312,1.028254340639134,385,385,0.1540202647447586,2319.29736328125,,
SSN_sf10,single,B1,0.01,0.1,14,76154,41558.44155844156,1.832455625,385,385,0.14820974320173264,2335.480712890625,,
SSN_sf10,single,B1,0.01,0.1,15,79164,103896.1038961039,1.3124160463860328,385,385,0.14585815370082855,2317.94775390625,,
SSN_sf10,single,B1,0.01,0.1,16,79016,83116.88311688312,1.051899401600728,385,385,0.14625955373048782,2316.09765625,,
SSN_sf10,single,B1,0.01,0.1,17,80012,145454.54545454547,1.8179091318120466,385,385,0.1431480050086975,2336.35693359375,,
SSN_sf10,single,B1,0.01,0.1,18,80574,62337.66233766235,1.2925412499999998,385,385,0.14722254127264023,2312.673095703125,,
