cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
WIKI_sf10,single,B1,0.01,0.1,0,81163,62337.66233766235,1.3019897916666665,385,385,0.7301103323698044,2.5208888053894043,,
WIKI_sf10,single,B1,0.01,0.1,1,78659,62337.66233766235,1.2618214583333331,385,385,0.4854938015341759,2.5153558254241943,,
WIKI_sf10,single,B1,0.01,0.1,2,80613,145454.54545454547,1.8043559407855492,385,385,0.40671881288290024,2.265953540802002,,
WIKI_sf10,single,B1,0.01,0.1,3,78610,20779.22077922078,3.78310625,385,385,0.3853635862469673,2.476497173309326,,
WIKI_sf10,single,B1,0.01,0.1,4,76549,62337.66233766235,1.2279735416666664,385,385,0.376654788851738,2.595715045928955,,
WIKI_sf10,single,B1,0.01,0.1,5,81587,20779.22077922078,3.9263743749999995,385,385,0.37606991827487946,2.74550724029541,,
WIKI_sf10,single,B1,0.01,0.1,6,78090,166233.76623376625,2.128745885949113,385,385,0.37392042577266693,2.7824323177337646,,
WIKI_sf10,single,B1,0.01,0.1,7,79232,103896.1038961039,1.3112896796257056,385,385,0.37661660462617874,2.635324478149414,,
WIKI_sf10,single,B1,0.01,0.1,8,77286,20779.22077922078,3.71938875,385,385,0.3763968124985695,2.351802110671997,,
WIKI_sf10,single,B1,0.01,0.1,9,81398,103896.1038961039,1.276396273816358,385,385,0.38067903369665146,2.2444231510162354,,
WIKI_sf10,single,B1,0.01,0.1,10,81603,41558.44155844156,1.9635721874999998,385,385,0.3773001953959465,2.6739518642425537,,
WIKI_sf10,single,B1,0.01,0.1,11,79252,124675.3246753247,1.5731505157639516,385,385,0.3682933747768402,2.4393222332000732,,
WIKI_sf10,single,B1,0.01,0.1,12,82886,124675.3246753247,1.5041783253543988,385,385,0.36737415939569473,2.3603880405426025,,
WIKI_sf10,single,B1,0.01,0.1,13,80244,103896.1038961039,1.2947523041735693,385,385,0.3689667209982872,2.3327994346618652,,
WIKI_sf10,single,B1,0.01,0.1,14,79248,62337.66233766235,1.27127,385,385,0.3675101324915886,2.405128002166748,,
WIKI_sf10,single,B1,0.01,0.1,15,83064,41558.44155844156,1.9987274999999998,385,385,0.3656018525362015,2.5055012702941895,,
WIKI_sf10,single,B1,0.01,0.1,16,78437,62337.66233766235,1.2582602083333332,385,385,0.363755039870739,2.401743173599243,,
WIKI_sf10,single,B1,0.01,0.1,17,80388,124675.3246753247,1.5509195983893702,385,385,0.36699604243040085,2.212125301361084,,
WIKI_sf10,single,B1,0.01,0.1,18,83836,41558.44155844156,2.01730375,385,385,0.3673005849123001,2.4731359481811523,,
WIKI_sf10,single,B1,0.01,0.1,19,79328,83116.88311688312,1.0477622417920927,385,385,0.38364436477422714,2.350843667984009,,
WIKI_sf10,single,B1,0.01,0.1,20,81391,62337.66233766235,1.3056472916666664,385,385,0.3752410411834717,2.5411880016326904,,
WIKI_sf10,single,B1,0.01,0.1,21,78669,83116.88311688312,1.0565392100685547,385,385,0.37289317697286606,2.7003026008605957,,
WIKI_sf10,single,B1,0.01,0.1,22,81789,124675.3246753247,1.5243532097876817,385,385,0.367174856364727,2.9648046493530273,,
WIKI_sf10,single,B1,0.01,0.1,23,80673,103896.1038961039,1.287867116583044,385,385,0.3638574853539467,2.2432949542999268,,
WIKI_sf10,single,B1,0.01,0.1,24,80813,62337.66233766235,1.296375208333333,385,385,0.3648586571216583,2.4904441833496094,,
