cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
YFCC_sf1,single,B1,0.01,0.1,0,8079,8311.688311688311,1.02880162293456,385,385,0.4001287743449211,302.7010498046875,,
YFCC_sf1,single,B1,0.01,0.1,1,7871,8311.688311688311,1.0559888593175342,385,385,0.24648383259773254,280.2265625,,
YFCC_sf1,single,B1,0.01,0.1,2,7793,8311.688311688311,1.0665582332462866,385,385,0.22133812308311462,286.9720458984375,,
YFCC_sf1,single,B1,0.01,0.1,3,7912,4155.8441558441555,1.903825,385,385,0.21458324044942856,335.3937683105469,,
YFCC_sf1,single,B1,0.01,0.1,4,7842,6233.766233766233,1.2579875,385,385,0.22226572036743164,315.7069396972656,,
YFCC_sf1,single,B1,0.01,0.1,5,7920,6233.766233766233,1.2705000000000002,385,385,0.2066139131784439,304.775146484375,,
YFCC_sf1,single,B1,0.01,0.1,6,8088,14545.454545454544,1.798399424512184,385,385,0.20814407616853714,306.646240234375,,
YFCC_sf1,single,B1,0.01,0.1,7,7876,8311.688311688311,1.0553184753286327,385,385,0.2072388306260109,305.800537109375,,
YFCC_sf1,single,B1,0.01,0.1,8,7956,0.0,,385,385,0.2062646672129631,335.26544189453125,,
YFCC_sf1,single,B1,0.01,0.1,9,8016,12467.532467532466,1.5553308966482617,385,385,0.2063792198896408,377.0224609375,,
YFCC_sf1,single,B1,0.01,0.1,10,7902,4155.8441558441555,1.9014187500000002,385,385,0.19671954214572906,306.9478759765625,,
YFCC_sf1,single,B1,0.01,0.1,11,7828,10389.610389610389,1.3272368918766464,385,385,0.2086777240037918,310.8470153808594,,
YFCC_sf1,single,B1,0.01,0.1,12,7899,16623.376623376622,2.104491280336324,385,385,0.19631534814834595,332.78961181640625,,
YFCC_sf1,single,B1,0.01,0.1,13,7847,6233.766233766233,1.2587895833333334,385,385,0.19664131104946136,327.5285949707031,,
YFCC_sf1,single,B1,0.01,0.1,14,8105,4155.8441558441555,1.9502656250000001,385,385,0.19636191427707672,322.924072265625,,
YFCC_sf1,single,B1,0.01,0.1,15,8134,6233.766233766233,1.3048291666666667,385,385,0.19759591668844223,325.0353088378906,,
YFCC_sf1,single,B1,0.01,0.1,16,7984,16623.376623376622,2.0820862504229236,385,385,0.19588321447372437,317.376708984375,,
YFCC_sf1,single,B1,0.01,0.1,17,8061,8311.688311688311,1.031098909774012,385,385,0.19744224846363068,357.4854431152344,,
YFCC_sf1,single,B1,0.01,0.1,18,7855,4155.8441558441555,1.8901093750000002,385,385,0.19582360982894897,310.12579345703125,,
YFCC_sf1,single,B1,0.01,0.1,19,8004,16623.376623376622,2.076883636104026,385,385,0.1948866993188858,270.13677978515625,,
YFCC_sf1,single,B1,0.01,0.1,20,7982,4155.8441558441555,1.9206687500000001,385,385,0.19507668912410736,335.0774230957031,,
YFCC_sf1,single,B1,0.01,0.1,21,8078,8311.688311688311,1.0289289813924622,385,385,0.19683130085468292,311.0851745605469,,
YFCC_sf1,single,B1,0.01,0.1,22,7913,6233.766233766233,1.2693770833333335,385,385,0.1984722912311554,306.1500549316406,,
YFCC_sf1,single,B1,0.01,0.1,23,8170,6233.766233766233,1.3106041666666668,385,385,0.20476896315813065,297.9076232910156,,
YFCC_sf1,single,B1,0.01,0.1,24,8005,10389.610389610389,1.2978901173779374,385,385,0.20459387451410294,314.4836120605469,,
YFCC_sf1,single,B1,0.01,0.1,25,7764,12467.532467532466,1.6058130432164435,385,385,0.19818171858787537,376.6110534667969,,
YFCC_sf1,single,B1,0.01,0.1,26,7954,2077.9220779220777,3.8278625,385,385,0.19734445959329605,332.3988342285156,,
YFCC_sf1,single,B1,0.01,0.1,27,8101,4155.8441558441555,1.9493031250000001,385,385,0.19512418657541275,351.04840087890625,,
YFCC_sf1,single,B1,0.01,0.1,28,7788,10389.610389610389,1.3340537223433986,385,385,0.1944173127412796,299.4376525878906,,
YFCC_sf1,single,B1,0.01,0.1,29,8234,6233.766233766233,1.3208708333333334,385,385,0.19697286188602448,343.3059997558594,,
YFCC_sf1,single,B1,0.01,0.1,30,7944,6233.766233766233,1.27435,385,385,0.19612815231084824,295.7767639160156,,
YFCC_sf1,single,B1,0.01,0.1,31,7896,4155.8441558441555,1.8999750000000002,385,385,0.19519124180078506,300.4529724121094,,
YFCC_sf1,single,B1,0.01,0.1,32,7972,12467.532467532466,1.5639152618580616,385,385,0.19626319408416748,328.6988525390625,,
YFCC_sf1,single,B1,0.01,0.1,33,8126,14545.454545454544,1.7899894838117825,385,385,0.19554700702428818,308.8203125,,
YFCC_sf1,single,B1,0.01,0.1,34,7912,12467.532467532466,1.575775084369624,385,385,0.19449740648269653,309.5382385253906,,
YFCC_sf1,single,B1,0.01,0.1,35,7857,4155.8441558441555,1.8905906250000002,385,385,0.19442010670900345,325.9386291503906,,
YFCC_sf1,single,B1,0.01,0.1,36,7904,8311.688311688311,1.0515799989484198,385,385,0.19730161875486374,321.07159423828125,,
YFCC_sf1,single,B1,0.01,0.1,37,7965,8311.688311688311,1.0435264672552806,385,385,0.19649416208267212,300.657470703125,,
YFCC_sf1,single,B1,0.01,0.1,38,7802,6233.766233766233,1.2515708333333335,385,385,0.19410811364650726,84.87037658691406,,
YFCC_sf1,single,B1,0.01,0.1,39,7983,8311.688311688311,1.0411735327180647,385,385,0.19337143748998642,321.4822998046875,,
YFCC_sf1,single,B1,0.01,0.1,40,7945,8311.688311688311,1.046153343195508,385,385,0.19320659339427948,120.61919403076172,,
YFCC_sf1,single,B1,0.01,0.1,41,8124,0.0,,385,385,0.19552931189537048,311.485107421875,,
YFCC_sf1,single,B1,0.01,0.1,42,7993,6233.766233766233,1.2822104166666668,385,385,0.19583199173212051,274.5013122558594,,
YFCC_sf1,single,B1,0.01,0.1,43,8009,2077.9220779220777,3.8543312500000004,385,385,0.19804760813713074,345.0115966796875,,
YFCC_sf1,single,B1,0.01,0.1,44,8044,8311.688311688311,1.0332780099065528,385,385,0.19622594118118286,359.4745178222656,,
